Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16
2025-07-28 14:15:27,15.676,20.897,16.141,24.234,24.055,17.641,22.677,19.924,26.030,26.852,26.061,25.889,26.067,26.560,25.965,25.847
2025-07-28 14:15:37,15.756,20.805,16.231,24.117,23.953,17.583,22.491,19.931,25.727,26.902,26.157,25.618,25.987,26.646,25.537,25.496
2025-07-28 14:15:47,15.729,20.655,16.193,23.894,23.777,17.469,22.362,19.802,25.199,26.632,25.974,24.887,25.446,26.426,25.157,24.774
2025-07-28 14:15:57,15.777,20.594,16.225,23.753,23.647,17.400,22.269,19.789,25.461,26.770,25.840,25.286,25.529,26.433,25.436,25.323
2025-07-28 14:16:08,15.792,20.538,16.274,23.628,23.529,17.337,22.162,19.761,25.828,26.920,26.075,25.706,25.833,26.508,25.794,25.686
2025-07-28 14:16:18,15.811,20.473,16.292,23.522,23.430,17.304,22.089,19.725,26.350,27.018,26.403,26.311,26.192,26.721,26.309,26.363
2025-07-28 14:16:28,15.875,20.497,16.370,23.441,23.387,17.315,22.082,19.761,26.049,27.057,26.299,25.807,26.123,26.775,26.011,25.881
2025-07-28 14:16:38,15.909,20.445,16.400,23.352,23.275,17.262,22.020,19.711,25.827,26.965,26.104,25.632,25.843,26.664,25.803,25.708
2025-07-28 14:16:48,15.852,20.360,16.365,23.215,23.127,17.166,21.868,19.471,25.665,26.878,26.078,25.622,25.730,26.614,25.741,25.600
2025-07-28 14:16:58,15.899,20.232,16.400,23.134,23.050,17.101,21.744,18.976,25.766,26.879,26.020,25.533,25.506,26.627,25.725,25.505
2025-07-28 14:17:08,15.890,20.086,16.429,23.054,22.963,17.017,21.630,18.941,25.939,26.969,26.314,25.850,25.754,26.598,25.851,25.787
2025-07-28 14:17:18,15.893,19.971,16.421,22.985,22.903,16.925,21.473,18.923,27.180,27.208,27.122,27.368,27.260,26.998,26.910,27.329
2025-07-28 14:17:29,15.942,19.919,16.435,22.873,22.779,16.796,21.366,18.870,26.628,27.219,26.954,26.438,26.493,26.894,26.770,26.541
2025-07-28 14:17:39,15.890,19.717,16.449,22.803,22.680,16.665,21.127,18.666,26.298,27.067,26.670,26.146,26.101,26.593,26.459,26.321
2025-07-28 14:17:49,15.827,19.513,16.407,22.622,22.496,16.463,20.868,18.441,25.877,26.920,26.401,25.673,25.751,26.237,26.013,25.763
2025-07-28 14:17:59,15.836,19.372,16.446,22.551,22.381,16.353,20.682,18.263,25.660,26.836,26.264,25.507,25.578,26.076,25.849,25.536
2025-07-28 14:18:09,15.821,19.249,16.445,22.445,22.243,16.263,20.476,18.118,25.840,26.848,26.457,25.704,25.715,26.102,25.917,25.698
2025-07-28 14:18:19,15.843,19.108,16.435,22.359,22.150,16.142,20.310,17.968,25.835,26.827,26.445,25.457,25.581,25.971,25.944,25.754
2025-07-28 14:18:29,15.786,18.914,16.408,22.162,21.934,15.964,20.128,17.787,25.901,26.730,26.451,25.691,25.542,26.093,26.072,25.835
2025-07-28 14:18:39,15.787,18.794,16.419,22.062,21.816,15.885,19.918,17.608,25.606,26.694,26.213,25.488,25.385,25.804,25.697,25.598
2025-07-28 14:18:50,15.812,18.650,16.448,21.927,21.672,15.768,19.711,17.347,25.435,26.668,26.219,25.348,25.238,25.778,25.602,25.395
2025-07-28 14:19:00,15.813,18.473,16.458,21.804,21.535,15.638,19.527,17.059,25.503,26.657,26.179,25.382,25.397,25.624,25.570,25.523
2025-07-28 14:19:10,15.750,18.232,16.473,21.693,21.393,15.553,19.284,16.717,25.318,26.537,26.083,25.178,25.212,25.604,25.475,25.368
2025-07-28 14:19:20,15.841,18.092,16.491,21.572,21.254,15.452,19.138,16.523,25.557,26.655,26.206,25.388,25.457,25.765,25.651,25.587
2025-07-28 14:19:30,15.851,17.882,16.514,21.443,21.092,15.360,18.932,16.260,25.526,26.654,26.212,25.564,25.335,25.913,25.889,25.596
2025-07-28 14:19:40,15.797,17.607,16.474,21.223,20.816,15.129,18.659,15.923,25.385,26.497,26.156,25.167,25.061,25.642,25.567,25.446
2025-07-28 14:19:50,15.759,17.325,16.418,21.037,20.580,15.034,18.428,15.570,25.123,26.411,25.978,25.060,24.952,25.504,25.422,25.242
2025-07-28 14:20:00,15.777,17.101,16.436,20.898,20.423,14.954,18.165,15.344,25.145,26.438,26.032,25.031,24.935,25.474,25.410,25.189
2025-07-28 14:20:10,15.795,16.917,16.471,20.759,20.272,14.892,17.978,15.136,25.323,26.451,26.049,25.268,25.123,25.564,25.521,25.486
2025-07-28 14:20:21,15.751,16.681,16.414,20.581,20.060,14.741,17.774,14.899,25.185,26.380,25.993,25.087,25.004,25.552,25.473,25.179
2025-07-28 14:20:31,15.762,16.523,16.425,20.442,19.928,14.696,17.560,14.703,25.241,26.380,26.068,25.388,24.826,25.625,25.576,25.514
2025-07-28 14:20:41,15.694,16.258,16.404,20.270,19.731,14.553,17.296,14.367,25.146,26.291,26.031,25.078,24.741,25.430,25.364,25.308
2025-07-28 14:20:51,15.709,16.043,16.422,20.076,19.568,14.432,17.117,14.070,25.065,26.269,25.827,24.979,24.553,25.210,25.275,25.311
2025-07-28 14:21:01,15.750,15.832,16.450,20.010,19.476,14.431,16.911,13.760,24.868,26.273,25.708,24.658,24.751,25.196,25.184,24.900
2025-07-28 14:21:11,15.760,15.592,16.444,19.861,19.344,14.362,16.680,13.463,24.916,26.264,25.737,24.882,24.731,25.218,25.157,25.164
2025-07-28 14:21:21,15.724,15.326,16.407,19.662,19.133,14.185,16.389,13.093,24.796,26.136,25.668,24.606,24.541,25.101,25.018,24.889
2025-07-28 14:21:31,15.734,15.088,16.436,19.548,18.997,14.094,16.147,12.767,24.837,26.101,25.684,24.608,24.545,25.070,25.030,24.961
2025-07-28 14:21:42,15.677,14.785,16.380,19.328,18.782,13.944,15.858,12.425,24.939,26.029,25.672,24.738,24.637,25.085,25.069,25.003
2025-07-28 14:21:52,15.758,14.641,16.453,19.253,18.716,13.904,15.701,12.251,24.929,26.130,25.690,24.742,24.729,25.218,25.147,25.051
2025-07-28 14:22:02,15.763,14.447,16.471,19.118,18.572,13.827,15.467,12.073,25.183,26.171,25.944,24.994,24.868,25.349,25.326,25.152
2025-07-28 14:22:12,15.696,14.196,16.407,18.907,18.368,13.669,15.206,11.871,24.887,26.070,25.650,24.642,24.626,25.117,25.121,25.001
2025-07-28 14:22:22,15.715,14.020,16.419,18.771,18.233,13.574,14.998,11.618,24.861,26.017,25.761,24.627,24.668,25.063,25.031,25.076
2025-07-28 14:22:32,15.725,13.807,16.428,18.615,18.085,13.486,14.787,11.299,24.877,26.067,25.633,24.856,24.814,25.180,25.209,25.171
2025-07-28 14:22:42,15.733,13.603,16.439,18.466,17.941,13.373,14.574,10.884,24.802,26.023,25.632,24.656,24.580,24.940,24.961,24.975
2025-07-28 14:22:52,15.735,13.373,16.446,18.314,17.813,13.285,14.360,10.533,25.083,26.078,25.862,24.936,24.847,25.298,25.293,25.132
2025-07-28 14:23:03,15.735,13.128,16.466,18.161,17.661,13.177,14.123,10.165,24.888,26.043,25.766,24.730,24.713,25.178,25.158,24.821
2025-07-28 14:23:13,15.671,12.805,16.380,17.951,17.467,13.012,13.822,9.744,24.589,25.911,25.541,24.479,24.440,24.968,24.853,24.738
2025-07-28 14:23:23,15.620,12.498,16.344,17.757,17.284,12.859,13.631,9.402,24.651,25.817,25.579,24.307,24.311,24.904,24.897,24.699
2025-07-28 14:23:33,15.704,12.255,16.363,17.618,17.174,12.757,13.396,9.101,24.988,25.921,25.619,24.646,24.591,25.050,25.049,25.058
2025-07-28 14:23:43,15.608,12.011,16.430,17.543,17.111,12.718,13.151,8.862,24.845,25.901,25.807,24.828,24.753,25.201,25.066,24.985
2025-07-28 14:23:53,15.638,11.808,16.370,17.348,16.922,12.556,12.954,8.710,25.109,25.929,25.945,24.902,24.725,25.391,25.298,25.227
2025-07-28 14:24:03,15.621,11.651,16.367,17.229,16.786,12.468,12.749,8.524,25.178,25.921,26.020,25.158,24.988,25.487,25.473,25.533
2025-07-28 14:24:13,15.562,11.387,16.304,17.036,16.591,12.299,12.500,8.152,24.843,25.915,25.869,24.715,24.639,25.385,25.317,25.056
2025-07-28 14:24:23,15.573,11.154,16.315,16.906,16.464,12.186,12.323,7.727,25.148,25.854,26.058,24.999,24.744,25.413,25.350,25.168
2025-07-28 14:24:34,15.580,10.930,16.338,16.777,16.351,12.116,12.106,7.241,24.975,25.788,25.918,24.896,24.698,25.396,25.354,25.213
2025-07-28 14:24:44,15.562,10.665,16.321,16.667,16.250,12.032,11.930,6.770,25.108,25.814,26.232,25.047,24.648,25.541,25.483,25.269
2025-07-28 14:24:54,15.577,10.403,16.330,16.565,16.107,11.956,11.730,6.187,25.150,25.847,26.169,25.020,24.744,25.518,25.477,25.407
2025-07-28 14:25:04,15.512,10.028,16.271,16.362,15.918,11.800,11.445,5.603,25.223,25.824,26.183,25.043,24.860,25.551,25.491,25.280
2025-07-28 14:25:14,15.525,9.711,16.331,16.313,15.848,11.773,11.260,5.230,25.248,25.795,26.266,24.906,24.766,25.591,25.516,25.369
2025-07-28 14:25:24,15.514,9.487,16.268,16.125,15.643,11.593,11.085,5.151,24.672,25.684,25.843,24.536,24.385,25.188,25.153,24.788
2025-07-28 14:25:34,15.524,9.274,16.272,15.971,15.525,11.527,10.868,5.110,24.870,25.710,25.968,24.740,24.456,25.304,25.190,24.996
2025-07-28 14:25:44,15.514,9.083,16.262,15.902,15.397,11.343,10.688,4.698,24.934,25.728,26.004,24.916,24.499,25.218,25.171,25.189
2025-07-28 14:25:55,15.528,8.836,16.290,15.758,15.260,11.186,10.504,3.623,25.342,25.807,26.369,25.173,24.872,25.639,25.534,25.402
2025-07-28 14:26:05,15.460,8.477,16.209,15.575,15.065,11.013,10.262,2.486,25.230,25.724,26.233,24.924,24.733,25.412,25.477,25.297
2025-07-28 14:26:15,15.456,8.053,16.209,15.461,14.965,10.837,10.156,1.507,25.061,25.785,26.151,24.999,24.559,25.341,25.305,25.346
2025-07-28 14:26:25,15.454,7.560,16.199,15.340,14.823,10.638,9.897,0.538,24.571,25.672,25.877,24.327,24.410,24.955,24.893,24.629
2025-07-28 14:26:35,15.442,6.990,16.193,15.193,14.700,10.475,9.745,-0.127,24.839,25.691,25.914,24.530,24.550,24.891,24.899,24.864
2025-07-28 14:26:45,15.426,6.339,16.187,15.070,14.569,10.351,9.492,-0.558,24.972,25.691,26.013,24.758,24.559,25.090,25.054,25.055
2025-07-28 14:26:55,15.453,5.897,16.208,14.913,14.453,10.168,9.259,-0.820,24.585,25.688,25.846,24.232,24.514,24.918,24.789,24.577
2025-07-28 14:27:05,15.432,5.599,16.174,14.792,14.340,10.021,9.028,-0.746,24.689,25.712,25.877,24.532,24.419,24.909,24.861,24.788
2025-07-28 14:27:16,15.494,5.448,16.237,14.707,14.264,9.946,8.894,-0.992,25.115,25.788,26.251,24.978,24.754,25.304,25.224,25.203
2025-07-28 14:27:26,15.437,5.004,16.171,14.509,14.090,9.688,8.662,-1.658,24.531,25.633,25.784,24.226,24.460,24.918,24.759,24.633
2025-07-28 14:27:36,15.360,4.318,16.106,14.320,13.892,9.491,8.339,-2.358,24.758,25.520,25.996,24.435,24.436,24.997,24.793,24.712
2025-07-28 14:27:46,15.339,3.575,16.115,14.209,13.792,9.356,8.057,-2.901,24.439,25.559,25.736,24.328,24.281,24.870,24.763,24.413
2025-07-28 14:27:56,15.380,2.876,16.171,14.190,13.735,9.338,7.809,-3.341,24.603,25.617,25.857,24.216,24.261,24.845,24.727,24.537
2025-07-28 14:28:06,15.321,2.105,16.086,13.988,13.555,9.057,7.600,-3.738,24.522,25.583,25.785,24.298,24.342,24.858,24.714,24.586
2025-07-28 14:28:16,15.314,1.302,16.079,13.881,13.456,8.840,7.288,-4.078,24.664,25.609,25.819,24.351,24.453,24.876,24.775,24.687
2025-07-28 14:28:26,15.317,0.702,16.076,13.734,13.337,8.478,7.097,-4.351,24.649,25.563,25.861,24.627,24.391,24.958,24.921,24.735
2025-07-28 14:28:36,15.246,0.154,16.006,13.543,13.146,8.113,6.926,-4.364,25.125,25.564,26.270,24.800,24.544,25.104,25.106,25.139
2025-07-28 14:28:47,15.294,-0.142,16.068,13.469,13.075,7.939,6.873,-4.448,24.735,25.611,26.120,24.542,24.480,24.993,25.019,24.904
2025-07-28 14:28:57,15.288,-0.585,16.054,13.377,12.980,7.619,6.575,-4.860,24.572,25.569,25.960,24.506,24.351,24.847,24.819,24.697
2025-07-28 14:29:07,15.240,-1.088,15.986,13.180,12.780,7.262,6.331,-6.000,24.421,25.452,25.854,24.270,24.172,24.794,24.549,24.494
2025-07-28 14:29:17,15.230,-1.600,16.012,13.064,12.652,6.926,6.170,-7.820,24.440,25.499,25.902,24.173,24.243,24.810,24.592,24.478
2025-07-28 14:29:27,15.218,-2.130,15.979,12.933,12.572,6.408,5.965,-8.698,24.712,25.529,26.046,24.483,24.371,24.969,24.903,24.836
2025-07-28 14:29:37,15.202,-2.645,15.975,12.799,12.447,6.108,5.829,-9.364,24.784,25.582,26.143,24.506,24.511,24.935,24.870,24.827
2025-07-28 14:29:47,15.202,-3.162,15.962,12.676,12.311,5.695,5.627,-9.691,24.926,25.700,26.148,24.590,24.600,25.199,25.118,24.950
