Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16
2025-08-11 17:48:51,17.274,18.540,14.426,20.373,17.248,17.387,16.788,17.046,-2.643,-2.084,0.388,-2.255,-3.808,-2.865,-0.057,-2.817
2025-08-11 17:49:01,17.272,17.724,13.879,20.352,16.362,16.909,15.271,15.336,-2.658,-2.082,0.380,-2.306,-3.814,-2.868,-0.061,-2.961
2025-08-11 17:49:11,17.256,16.905,13.407,20.346,15.484,16.485,14.219,14.392,-2.769,-2.107,0.373,-2.379,-3.869,-2.997,-0.065,-2.977
2025-08-11 17:49:21,17.231,16.346,13.338,20.322,14.876,16.079,13.397,13.194,-2.865,-2.126,0.362,-2.378,-3.936,-2.969,-0.077,-3.011
2025-08-11 17:49:31,17.238,15.754,12.941,20.343,14.344,15.720,12.692,12.208,-2.924,-2.170,0.326,-2.442,-3.995,-3.108,-0.103,-3.052
2025-08-11 17:49:42,17.201,15.298,12.548,20.335,13.863,15.417,12.035,11.569,-2.910,-2.220,0.336,-2.506,-4.089,-3.190,-0.093,-3.115
2025-08-11 17:49:52,17.200,14.893,12.353,20.320,13.440,15.165,11.446,11.195,-2.964,-2.276,0.337,-2.557,-4.075,-3.269,-0.105,-3.196
2025-08-11 17:50:02,17.181,14.436,11.974,20.319,13.050,14.940,10.915,10.660,-3.064,-2.313,0.323,-2.565,-4.160,-3.266,-0.119,-3.280
2025-08-11 17:50:12,17.171,13.737,11.762,20.309,12.679,14.745,10.458,10.325,-3.036,-2.374,0.318,-2.679,-4.189,-3.376,-0.118,-3.338
2025-08-11 17:50:22,17.137,13.480,11.611,20.311,12.533,14.607,10.146,10.097,-3.174,-2.404,0.293,-2.651,-4.190,-3.445,-0.116,-3.366
2025-08-11 17:50:32,17.175,13.236,11.644,20.358,12.282,14.519,9.957,9.861,-3.187,-2.335,0.353,-2.653,-4.227,-3.363,-0.061,-3.264
2025-08-11 17:50:42,17.093,12.996,11.589,20.347,12.091,14.400,9.641,9.443,-3.263,-2.403,0.346,-2.697,-4.281,-3.412,-0.143,-3.383
2025-08-11 17:50:52,17.076,12.808,11.295,20.273,11.839,14.202,9.464,9.190,-3.319,-2.516,0.264,-2.779,-4.392,-3.531,-0.142,-3.470
