Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16
2025-08-24 15:32:40,25.528,12.831,25.965,11.628,28.573,10.057,8.935,14.654,2.325,3.450,2.053,3.824,3.722,2.228,1.311,2.655
2025-08-24 15:32:50,24.906,12.365,25.860,9.760,28.858,10.032,8.935,14.432,2.086,3.301,2.060,3.644,3.569,2.167,1.281,2.493
2025-08-24 15:33:00,25.348,12.026,25.853,9.312,29.975,10.017,8.942,14.185,2.260,3.139,2.032,3.547,3.345,2.316,1.298,2.622
2025-08-24 15:33:10,25.831,11.521,25.925,8.964,30.564,10.028,8.959,13.902,2.404,3.200,2.027,3.547,3.367,2.408,1.295,2.717
2025-08-24 15:33:20,25.468,11.128,25.964,8.530,30.357,9.997,8.969,13.723,2.529,3.219,2.006,3.589,3.388,2.440,1.281,2.834
2025-08-24 15:33:31,25.228,11.080,25.995,8.338,29.989,9.973,8.980,13.575,2.726,3.205,2.019,3.624,3.367,2.612,1.280,2.919
2025-08-24 15:33:41,25.685,10.977,25.988,8.081,31.746,9.945,8.998,13.192,2.731,3.168,2.014,3.522,3.377,2.662,1.275,2.971
2025-08-24 15:33:51,26.502,10.643,26.011,7.939,30.759,9.915,9.001,13.237,2.626,3.183,2.005,3.494,3.393,2.689,1.282,3.004
2025-08-24 15:34:01,25.890,10.499,26.037,7.657,31.021,9.861,9.008,12.996,2.757,3.203,2.007,3.458,3.381,2.765,1.290,3.004
2025-08-24 15:34:11,25.866,10.331,25.979,7.482,30.279,9.822,9.017,12.762,2.657,3.076,1.949,3.430,3.332,2.787,1.287,2.929
2025-08-24 15:34:21,26.349,10.241,26.005,7.446,29.087,9.716,8.976,12.749,2.647,3.080,1.950,3.329,3.268,2.642,1.226,2.916
2025-08-24 15:34:31,25.874,10.127,26.041,7.406,29.157,9.734,9.045,12.608,2.644,3.145,1.934,3.404,3.299,2.673,1.284,2.973
2025-08-24 15:34:41,25.830,9.994,26.108,7.244,29.422,9.701,9.064,12.547,2.676,3.137,1.996,3.487,3.310,2.627,1.281,2.898
2025-08-24 15:34:52,25.617,9.933,26.034,7.075,30.183,9.588,9.005,12.441,2.607,3.123,1.940,3.363,3.214,2.606,1.215,2.839
2025-08-24 15:35:02,25.725,9.885,26.037,7.109,30.211,9.553,9.014,12.248,2.575,3.082,1.944,3.273,3.176,2.553,1.226,2.794
2025-08-24 15:35:12,26.230,9.930,26.152,7.059,30.024,9.559,9.088,12.248,2.614,3.166,2.009,3.338,3.218,2.566,1.286,2.828
2025-08-24 15:35:22,26.075,9.826,26.147,7.049,29.593,9.535,9.088,12.155,2.567,3.067,2.009,3.301,3.168,2.515,1.293,2.800
2025-08-24 15:35:32,25.989,9.878,26.157,6.959,30.857,9.482,9.121,12.016,2.489,3.090,2.006,3.223,3.114,2.388,1.300,2.698
2025-08-24 15:35:42,25.879,9.824,26.107,6.971,30.031,9.388,9.057,11.850,2.440,2.949,1.950,3.186,3.063,2.350,1.218,2.602
2025-08-24 15:35:52,26.026,9.866,26.121,6.904,28.614,9.406,9.135,11.764,2.419,2.982,1.936,3.217,3.090,2.384,1.289,2.600
2025-08-24 15:36:02,26.660,9.885,26.221,6.616,28.379,9.369,9.156,11.578,2.391,2.992,1.997,3.178,2.990,2.432,1.284,2.637
