Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16
2025-08-25 01:56:29,25.451,25.647,25.344,25.960,25.209,25.790,25.981,25.313,4.434,2.402,0.736,2.534,4.584,2.169,-0.415,2.476
2025-08-25 16:29:19,-0.113,26.201,26.054,26.600,26.370,26.461,26.108,26.848,8.155,4.196,4.681,10.149,7.889,8.111,3.154,9.937
2025-08-25 16:29:29,-0.167,26.314,26.195,26.656,26.400,26.586,26.197,26.890,8.181,4.446,3.772,9.490,7.654,7.512,3.315,9.206
2025-08-25 16:29:39,-0.103,26.469,26.371,26.721,26.436,26.618,26.338,26.923,8.077,4.524,3.308,8.932,7.414,6.989,3.503,8.640
2025-08-25 16:29:49,-0.066,26.271,26.159,26.646,26.626,26.456,26.111,26.853,7.969,4.296,3.950,8.447,7.158,7.137,3.703,8.101
2025-08-25 16:29:59,-0.049,26.258,26.134,26.669,26.709,26.506,26.152,26.859,7.848,4.159,3.537,8.002,6.898,6.715,3.888,7.646
2025-08-25 16:30:09,0.009,26.145,25.929,26.645,26.729,26.425,25.883,26.830,7.730,4.185,3.451,7.634,6.655,6.163,4.039,7.244
2025-08-25 16:30:20,0.044,25.930,25.717,26.450,26.768,26.294,25.743,26.775,7.551,4.084,3.388,7.225,6.384,5.640,4.197,6.965
2025-08-25 16:30:30,0.092,25.966,25.812,26.459,26.771,26.291,25.839,26.776,7.395,4.097,3.307,6.914,6.168,5.618,4.335,6.586
2025-08-25 16:30:40,0.171,25.993,25.862,26.520,26.804,26.295,25.840,26.772,7.211,4.121,3.381,6.634,5.925,5.438,4.458,6.312
2025-08-25 16:30:50,0.288,26.163,25.995,26.541,26.805,26.414,25.873,26.797,7.144,4.226,3.436,6.362,5.704,5.329,4.557,5.936
2025-08-25 16:31:00,0.227,26.154,25.983,26.539,26.818,26.390,26.046,26.811,6.938,4.160,3.297,6.090,5.518,5.234,4.664,5.665
2025-08-25 16:31:10,0.166,26.227,26.123,26.577,26.823,26.437,26.116,26.807,6.819,4.040,3.652,5.835,5.325,5.221,4.745,5.416
2025-08-25 16:31:20,0.007,26.089,26.082,26.551,26.827,26.436,26.030,26.749,6.819,5.358,3.828,6.874,5.739,6.419,3.690,15.714
2025-08-25 16:31:30,-0.189,26.167,26.030,26.500,26.825,26.468,25.966,26.784,7.409,8.072,5.040,8.668,9.256,8.392,3.031,7.079
2025-08-25 16:31:40,-0.295,26.204,26.055,26.478,26.897,26.461,25.987,26.854,8.295,8.891,4.199,8.590,10.309,9.262,3.238,5.913
2025-08-25 16:31:51,-0.613,26.188,26.100,26.665,26.901,26.435,26.016,26.790,9.098,9.340,4.459,10.206,10.740,10.292,3.358,8.994
2025-08-25 16:32:01,-0.762,26.261,26.143,26.663,26.850,26.544,26.096,26.827,8.273,12.776,3.677,13.400,8.374,6.694,3.836,4.894
2025-08-25 16:32:11,-0.902,26.300,26.183,26.688,26.854,26.594,26.166,26.859,8.228,10.657,4.884,11.327,10.466,9.810,4.130,4.739
2025-08-25 16:32:21,-0.998,26.345,26.201,26.647,26.849,26.554,26.149,26.857,8.250,9.687,4.705,10.133,8.972,9.307,4.302,4.729
2025-08-25 16:32:31,-1.129,26.522,26.375,26.752,26.846,26.630,26.269,26.886,8.135,8.689,4.574,8.812,8.054,8.316,4.438,4.759
2025-08-25 16:32:41,-1.223,26.422,26.327,26.772,26.879,26.636,26.195,26.908,8.012,7.922,5.432,8.070,7.390,7.686,4.621,4.915
2025-08-25 16:32:51,-1.314,26.311,26.187,26.792,26.836,26.616,26.141,26.878,7.845,7.511,5.015,7.554,6.904,7.087,4.688,4.925
2025-08-25 16:33:01,-1.364,26.272,26.127,26.678,26.854,26.545,26.061,26.878,7.680,7.161,4.931,7.108,6.528,6.731,4.754,5.021
2025-08-25 16:33:12,-1.351,26.242,26.100,26.664,26.824,26.536,26.072,26.878,7.529,6.806,4.522,6.733,6.222,6.310,4.850,5.050
2025-08-25 16:33:22,-1.395,26.263,26.143,26.773,26.902,26.543,26.082,26.910,7.374,6.499,5.012,6.375,5.910,6.113,4.906,5.119
2025-08-25 16:33:32,-1.413,26.186,26.028,26.616,26.842,26.475,25.974,26.844,7.287,6.259,4.728,6.139,5.561,5.776,4.996,5.178
2025-08-25 16:33:42,-1.354,26.280,26.160,26.712,26.849,26.512,26.150,26.863,7.109,6.035,4.422,5.813,5.290,5.515,5.052,5.231
2025-08-25 16:33:52,-1.303,26.318,26.201,26.718,26.829,26.550,26.152,26.862,6.975,5.860,4.443,5.567,5.082,5.306,5.096,5.265
2025-08-25 16:34:02,-1.177,26.253,26.179,26.726,26.897,26.553,26.207,26.903,6.862,5.603,4.475,5.417,4.893,5.185,5.218,5.380
