Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16
2025-08-26 20:18:44,24.291,24.489,25.285,26.323,24.553,26.051,24.304,25.783,-10.837,-4.604,-8.617,-4.767,-8.699,-8.331,-8.629,-8.496
2025-08-26 20:18:55,24.568,25.021,32.214,26.314,27.864,26.104,25.159,25.760,-10.911,-4.672,-8.685,-4.820,-8.697,-8.674,-8.632,-8.546
2025-08-26 20:19:05,25.314,25.122,26.895,26.272,25.428,26.098,24.877,26.036,-10.906,-4.651,-8.674,-4.821,-8.740,-8.742,-8.700,-8.557
2025-08-26 20:19:15,23.621,22.793,22.857,25.851,18.004,25.818,23.522,25.745,-10.838,-4.593,-8.608,-4.746,-8.684,-8.671,-8.623,-8.478
2025-08-26 20:19:25,23.355,22.227,22.409,25.714,17.932,25.921,22.271,25.601,-10.831,-4.586,-8.683,-4.799,-8.704,-8.657,-8.630,-8.481
2025-08-26 20:19:35,23.956,22.633,22.771,25.898,19.623,26.018,22.643,25.705,-10.821,-4.576,-8.594,-4.747,-8.697,-8.677,-8.606,-8.469
2025-08-26 20:19:45,23.946,23.599,24.243,25.950,22.478,26.025,23.538,25.731,-10.872,-4.646,-8.665,-4.804,-8.751,-8.731,-8.679,-8.527
2025-08-26 20:19:55,22.822,23.020,24.098,26.089,31.361,25.971,24.093,24.833,-10.886,-4.641,-8.657,-4.794,-8.749,-8.745,-8.675,-8.532
2025-08-26 20:20:05,33.021,21.111,23.165,25.880,20.989,25.915,23.458,25.111,-10.811,-4.582,-8.581,-4.729,-8.675,-8.659,-8.604,-8.438
2025-08-26 20:20:16,28.552,21.150,22.669,26.089,17.765,25.756,23.969,25.362,-10.868,-4.654,-8.661,-4.790,-8.675,-8.648,-8.657,-8.519
2025-08-26 20:20:26,28.688,21.595,23.052,26.165,18.492,25.820,24.246,25.575,-10.860,-4.649,-8.643,-4.786,-8.728,-8.720,-8.649,-8.516
2025-08-26 20:20:36,26.353,21.430,22.067,26.211,19.004,25.833,24.515,25.489,-10.851,-4.645,-8.645,-4.795,-8.740,-8.704,-8.650,-8.504
2025-08-26 20:20:46,24.808,22.523,23.070,26.092,21.222,26.013,24.321,25.640,-10.778,-4.641,-8.642,-4.785,-8.663,-8.620,-8.589,-8.462
2025-08-26 20:20:56,23.867,23.903,24.160,26.191,23.179,26.028,24.428,25.619,-10.851,-4.659,-8.581,-4.736,-8.728,-8.694,-8.638,-8.523
2025-08-26 20:21:06,23.186,24.625,24.748,26.235,24.224,26.109,24.612,25.749,-10.847,-4.644,-8.642,-4.797,-8.719,-8.711,-8.634,-8.535
2025-08-26 20:21:16,22.710,24.523,24.662,26.186,24.165,26.037,24.313,25.718,-10.843,-4.646,-8.638,-4.782,-8.719,-8.704,-8.644,-8.523
2025-08-26 20:21:26,22.310,24.528,24.598,26.169,24.183,26.071,24.345,25.738,-10.834,-4.643,-8.622,-4.786,-8.712,-8.691,-8.647,-8.537
2025-08-26 20:21:36,22.016,24.543,24.633,26.149,24.239,26.064,24.203,25.622,-10.831,-4.644,-8.626,-4.781,-8.726,-8.698,-8.633,-8.515
2025-08-26 20:21:47,21.739,24.650,24.729,26.184,24.168,26.063,24.254,25.712,-10.821,-4.620,-8.622,-4.780,-8.713,-8.692,-8.642,-8.530
2025-08-26 20:21:57,21.532,24.866,25.040,26.243,24.447,26.010,24.782,25.788,-10.812,-4.633,-8.633,-4.793,-8.783,-8.752,-8.710,-8.517
2025-08-26 20:22:07,21.366,24.824,24.929,26.193,24.235,26.063,24.665,25.791,-10.817,-4.636,-8.636,-4.791,-8.714,-8.695,-8.617,-8.521
2025-08-26 20:22:17,21.169,24.620,24.763,26.212,24.107,26.070,24.461,25.760,-10.797,-4.635,-8.622,-4.777,-8.711,-8.679,-8.641,-8.511
2025-08-26 20:22:27,21.058,24.877,24.958,26.239,24.828,26.092,24.610,25.827,-10.803,-4.626,-8.609,-4.773,-8.703,-8.669,-8.621,-8.499
2025-08-26 20:22:37,20.949,24.799,24.833,26.208,24.282,26.055,24.607,25.786,-10.807,-4.631,-8.624,-4.766,-8.712,-8.683,-8.640,-8.502
2025-08-26 20:22:47,20.798,24.871,24.976,26.229,24.291,26.091,24.493,25.851,-10.800,-4.642,-8.608,-4.782,-8.695,-8.682,-8.626,-8.489
2025-08-26 20:22:57,20.666,24.703,24.893,26.239,24.224,26.129,24.475,25.856,-10.789,-4.609,-8.598,-4.771,-8.703,-8.668,-8.633,-8.492
2025-08-26 20:23:08,20.515,24.917,25.010,26.289,24.447,26.135,24.654,25.937,-10.783,-4.622,-8.603,-4.778,-8.694,-8.676,-8.617,-8.489
2025-08-26 20:23:18,20.381,25.039,25.040,26.297,24.556,26.166,24.610,25.960,-10.777,-4.611,-8.611,-4.770,-8.674,-8.646,-8.615,-8.467
2025-08-26 20:23:28,20.205,25.161,25.308,26.308,24.637,26.173,24.865,26.005,-10.770,-4.616,-8.603,-4.760,-8.672,-8.660,-8.616,-8.469
2025-08-26 20:23:38,20.096,25.078,25.201,26.304,24.527,26.185,24.711,25.995,-10.768,-4.621,-8.602,-4.771,-8.680,-8.665,-8.611,-8.473
2025-08-26 20:23:48,19.970,25.190,25.318,26.316,24.631,26.205,24.819,26.030,-10.761,-4.617,-8.605,-4.755,-8.688,-8.661,-8.616,-8.468
2025-08-26 20:23:58,19.812,25.088,25.192,26.313,24.489,26.206,24.730,26.063,-10.765,-4.630,-8.590,-4.768,-8.680,-8.653,-8.594,-8.467
2025-08-26 20:24:08,19.724,24.998,25.095,26.310,24.460,26.168,24.727,25.992,-10.768,-4.620,-8.593,-4.766,-8.672,-8.645,-8.602,-8.455
2025-08-26 20:24:18,19.641,25.012,25.028,26.280,24.397,26.187,24.578,25.944,-10.772,-4.616,-8.594,-4.763,-8.679,-8.659,-8.611,-8.445
2025-08-26 20:24:28,19.541,24.808,24.806,26.271,24.228,26.120,24.444,25.886,-10.745,-4.617,-8.586,-4.770,-8.672,-8.632,-8.592,-8.455
2025-08-26 20:24:39,19.487,24.870,24.928,26.291,24.159,26.154,24.499,25.912,-10.747,-4.608,-8.582,-4.771,-8.656,-8.644,-8.588,-8.441
2025-08-26 20:24:49,19.408,24.916,24.835,26.245,24.324,26.169,24.558,25.887,-10.735,-4.617,-8.584,-4.760,-8.655,-8.629,-8.574,-8.459
2025-08-26 20:24:59,19.366,24.990,25.044,26.264,24.395,26.176,24.627,25.890,-10.745,-4.626,-8.582,-4.747,-8.662,-8.614,-8.571,-8.440
2025-08-26 20:25:09,19.217,24.938,24.871,26.217,24.444,26.170,24.642,25.839,-10.793,-4.678,-8.655,-4.823,-8.639,-8.633,-8.572,-8.527
2025-08-26 20:25:19,19.256,24.797,24.829,26.259,24.289,26.158,24.412,25.882,-10.751,-4.622,-8.583,-4.757,-8.662,-8.639,-8.574,-8.455
2025-08-26 20:25:29,19.200,24.868,24.826,26.225,24.395,26.124,24.448,25.822,-10.738,-4.611,-8.584,-4.741,-8.660,-8.626,-8.578,-8.453
2025-08-26 20:25:39,19.125,24.801,24.717,26.245,24.368,26.146,24.441,25.849,-10.737,-4.623,-8.576,-4.762,-8.656,-8.638,-8.577,-8.465
2025-08-26 20:25:49,19.086,24.664,24.658,26.224,24.294,26.092,24.359,25.800,-10.723,-4.614,-8.570,-4.750,-8.666,-8.634,-8.575,-8.447
2025-08-26 20:26:00,19.052,24.850,24.912,26.250,24.410,26.131,24.444,25.804,-10.721,-4.615,-8.578,-4.757,-8.660,-8.632,-8.577,-8.467
2025-08-26 20:26:10,19.002,24.576,24.610,26.234,24.256,26.105,24.265,25.744,-10.715,-4.620,-8.572,-4.755,-8.650,-8.629,-8.567,-8.455
2025-08-26 20:26:20,18.942,24.732,24.904,26.229,24.297,26.092,24.431,25.755,-10.702,-4.623,-8.583,-4.755,-8.654,-8.619,-8.567,-8.462
2025-08-26 20:26:30,18.906,24.654,24.735,26.234,24.161,26.120,24.347,25.714,-10.688,-4.607,-8.554,-4.740,-8.657,-8.618,-8.583,-8.453
2025-08-26 20:26:40,18.817,24.629,24.529,26.152,24.002,26.094,24.242,25.603,-10.752,-4.674,-8.629,-4.825,-8.668,-8.641,-8.587,-8.533
2025-08-26 20:26:50,18.786,24.622,24.600,26.180,24.096,26.119,24.283,25.700,-10.751,-4.692,-8.629,-4.825,-8.669,-8.631,-8.563,-8.463
2025-08-26 20:27:00,18.803,24.669,24.771,26.251,24.315,26.113,24.330,25.786,-10.682,-4.623,-8.570,-4.749,-8.651,-8.630,-8.571,-8.455
2025-08-26 20:27:10,18.738,24.727,24.745,26.252,24.413,26.147,24.392,25.788,-10.679,-4.605,-8.572,-4.749,-8.660,-8.628,-8.584,-8.453
2025-08-26 20:27:20,18.650,24.659,24.735,26.241,24.293,26.036,24.410,25.730,-10.741,-4.666,-8.562,-4.748,-8.717,-8.690,-8.643,-8.519
2025-08-26 20:27:31,18.667,24.855,24.870,26.297,24.429,26.117,24.655,25.817,-10.665,-4.600,-8.562,-4.743,-8.647,-8.634,-8.574,-8.456
2025-08-26 20:27:41,18.613,24.871,24.888,26.276,24.339,26.135,24.488,25.774,-10.654,-4.611,-8.559,-4.762,-8.626,-8.613,-8.563,-8.453
2025-08-26 20:27:51,18.518,25.015,25.048,26.311,24.564,26.167,24.580,25.863,-10.676,-4.604,-8.568,-4.753,-8.643,-8.608,-8.568,-8.443
2025-08-26 20:28:01,18.393,25.050,25.081,26.256,24.551,26.214,24.618,25.894,-10.735,-4.672,-8.620,-4.802,-8.646,-8.611,-8.632,-8.512
2025-08-26 20:28:11,18.341,25.032,25.096,26.326,24.394,26.225,24.641,26.013,-10.664,-4.611,-8.541,-4.734,-8.657,-8.604,-8.572,-8.432
2025-08-26 20:28:21,18.264,25.067,25.193,26.346,24.471,26.221,24.687,26.056,-10.651,-4.591,-8.560,-4.726,-8.634,-8.613,-8.544,-8.431
2025-08-26 20:28:31,18.176,25.255,25.354,26.351,24.644,26.253,24.844,26.113,-10.650,-4.604,-8.556,-4.743,-8.639,-8.602,-8.545,-8.415
2025-08-26 20:28:41,18.062,25.097,25.310,26.347,24.415,26.268,24.706,26.122,-10.630,-4.613,-8.547,-4.721,-8.641,-8.600,-8.529,-8.416
2025-08-26 20:28:52,17.996,25.023,25.246,26.320,24.354,26.249,24.704,26.103,-10.633,-4.601,-8.535,-4.741,-8.620,-8.603,-8.549,-8.405
2025-08-26 20:29:02,17.912,25.024,25.179,26.335,24.418,26.246,24.708,26.104,-10.621,-4.597,-8.545,-4.739,-8.623,-8.586,-8.545,-8.402
2025-08-26 20:29:12,17.848,25.082,25.073,26.342,24.450,26.253,24.637,26.096,-10.642,-4.610,-8.533,-4.730,-8.625,-8.602,-8.529,-8.411
