Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16
2025-08-27 14:44:18,4.588,23.709,24.543,23.828,23.174,24.591,25.332,25.126,-7.270,-7.916,-8.070,-7.897,-8.069,-8.107,-8.077,-7.963
2025-08-27 14:44:28,4.141,24.031,24.812,24.192,23.955,24.711,25.260,25.017,-7.274,-8.006,-8.041,-7.907,-8.123,-8.161,-8.142,-8.025
2025-08-27 14:44:39,3.805,24.362,25.010,24.519,24.311,24.827,25.267,25.094,-7.266,-7.988,-8.058,-7.916,-8.117,-8.160,-8.141,-8.028
2025-08-27 14:44:49,3.513,24.476,25.108,24.424,24.426,24.932,25.260,25.041,-7.275,-7.997,-8.068,-7.904,-8.123,-8.184,-8.141,-8.017
2025-08-27 14:44:59,3.285,24.509,25.178,24.642,24.350,24.975,25.254,25.060,-7.258,-7.997,-8.063,-7.929,-8.134,-8.156,-8.138,-8.039
2025-08-27 14:45:09,3.093,24.515,25.215,24.563,24.377,24.965,25.229,24.973,-7.266,-8.000,-8.065,-7.917,-8.140,-8.149,-8.140,-8.020
2025-08-27 14:45:19,2.911,24.450,25.252,24.620,24.406,25.022,25.233,25.012,-7.255,-7.991,-8.074,-7.929,-8.121,-8.171,-8.140,-8.030
2025-08-27 14:45:29,2.765,24.581,25.285,24.513,24.410,25.080,25.236,25.045,-7.252,-7.977,-8.074,-7.934,-8.125,-8.157,-8.141,-8.020
2025-08-27 14:45:39,2.639,24.603,25.317,24.562,24.361,25.092,25.238,24.998,-7.250,-7.998,-8.071,-7.954,-8.141,-8.157,-8.145,-8.024
2025-08-27 14:45:49,2.558,24.538,25.309,24.530,24.338,25.111,25.237,25.052,-7.244,-7.982,-8.067,-7.951,-8.134,-8.165,-8.127,-8.011
2025-08-27 14:45:59,2.484,24.503,25.327,24.508,24.448,25.037,25.220,24.985,-7.247,-7.971,-8.078,-7.952,-8.130,-8.173,-8.155,-8.034
2025-08-27 14:46:10,2.432,24.688,25.334,24.434,24.394,25.155,25.228,25.110,-7.246,-7.979,-8.076,-7.947,-8.131,-8.164,-8.127,-8.031
2025-08-27 14:46:20,2.347,24.564,25.329,24.121,24.245,25.088,25.208,24.902,-7.247,-7.979,-8.074,-7.929,-8.135,-8.146,-8.152,-8.026
2025-08-27 14:46:30,2.314,24.541,25.338,24.457,24.437,25.133,25.207,25.039,-7.235,-7.958,-8.081,-7.949,-8.142,-8.162,-8.142,-8.024
2025-08-27 14:46:40,2.295,24.277,25.319,24.388,24.133,25.026,25.207,24.973,-7.227,-7.970,-8.064,-7.946,-8.144,-8.152,-8.137,-8.022
2025-08-27 14:46:50,2.256,24.476,25.329,24.400,24.349,25.148,25.222,25.041,-7.212,-7.976,-8.066,-7.936,-8.142,-8.153,-8.158,-8.029
2025-08-27 14:47:00,2.257,24.490,25.345,24.326,24.349,25.094,25.199,24.962,-7.229,-7.981,-8.076,-7.936,-8.137,-8.153,-8.129,-8.024
2025-08-27 14:47:10,2.222,24.437,25.304,24.328,24.311,25.056,25.206,24.947,-7.229,-7.960,-8.066,-7.952,-8.134,-8.152,-8.134,-8.035
