Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16
2025-08-28 17:19:11,8.524,25.214,26.537,26.550,25.542,26.161,26.387,26.497,26.238,26.120,26.101,25.986,26.093,26.215,26.156,25.981
2025-08-28 17:19:21,8.354,25.313,26.591,26.575,25.697,26.065,26.430,26.437,26.067,26.041,25.950,25.818,26.093,26.231,26.096,25.840
2025-08-28 17:19:31,8.267,25.801,26.709,26.651,25.793,26.667,26.479,26.527,26.377,26.213,26.179,26.079,26.193,26.323,26.189,26.086
2025-08-28 17:19:42,8.090,25.926,26.703,26.644,26.081,26.926,26.516,26.721,26.797,26.439,26.521,26.429,26.214,26.340,26.437,26.502
2025-08-28 17:19:52,7.986,26.041,26.742,26.653,26.077,26.725,26.550,26.690,26.829,26.562,26.518,26.512,26.262,26.425,26.527,26.503
2025-08-28 17:20:02,7.915,26.106,26.763,26.667,26.173,26.831,26.574,26.768,26.889,26.648,26.584,26.595,26.349,26.508,26.607,26.592
2025-08-28 17:20:12,7.847,26.168,26.761,26.651,26.198,26.508,26.586,26.695,26.604,26.583,26.407,26.385,26.391,26.537,26.527,26.421
2025-08-28 17:20:22,7.791,26.190,26.761,26.671,26.131,26.574,26.598,26.666,26.516,26.488,26.380,26.253,26.388,26.565,26.503,26.325
2025-08-28 17:20:32,7.735,26.231,26.773,26.682,26.100,26.502,26.587,26.694,26.680,26.542,26.393,26.432,26.427,26.583,26.510,26.402
2025-08-28 17:20:42,7.689,26.241,26.800,26.684,26.191,26.475,26.614,26.711,26.504,26.441,26.291,26.262,26.442,26.594,26.422,26.227
2025-08-28 17:20:52,7.627,26.273,26.807,26.690,26.236,26.492,26.602,26.720,26.469,26.451,26.295,26.241,26.421,26.630,26.411,26.279
2025-08-28 17:21:03,7.533,26.290,26.816,26.703,26.197,26.487,26.616,26.686,26.442,26.430,26.312,26.231,26.446,26.605,26.407,26.287
2025-08-28 17:21:13,7.423,26.362,26.820,26.689,26.272,26.425,26.619,26.686,26.327,26.346,26.208,26.118,26.424,26.609,26.346,26.152
2025-08-28 17:21:23,7.316,26.455,26.878,26.765,26.328,26.637,26.629,26.695,26.529,26.491,26.375,26.310,26.491,26.669,26.420,26.313
2025-08-28 17:21:33,7.243,26.415,26.826,26.695,26.205,26.442,26.612,26.688,26.473,26.447,26.290,26.213,26.458,26.606,26.414,26.218
2025-08-28 17:21:43,7.185,26.449,26.833,26.716,26.340,26.592,26.615,26.761,26.684,26.589,26.458,26.426,26.469,26.608,26.489,26.441
2025-08-28 17:21:53,7.123,26.468,26.839,26.699,26.326,26.534,26.641,26.687,26.498,26.420,26.275,26.259,26.465,26.620,26.380,26.248
2025-08-28 17:22:03,7.047,26.495,26.827,26.695,26.253,26.361,26.630,26.633,26.482,26.379,26.180,26.262,26.442,26.586,26.356,26.103
