frequency	e'	e''
5e+008	90.6897	6.31918
1e+009	87.8945	9.79345
1.5e+009	86.854	13.8609
2e+009	85.3419	17.8058
2.5e+009	83.4074	21.6059
3e+009	80.9469	24.9872
3.5e+009	78.3225	28.0501
4e+009	75.7955	30.8982
4.5e+009	72.8772	33.3667
5e+009	69.8319	35.3385
5.5e+009	66.9996	37.1379
6e+009	63.8898	38.5472
6.5e+009	60.9308	39.4942
7e+009	58.2138	40.4474
7.5e+009	55.3557	41.0259
8e+009	52.7871	41.3079
8.5e+009	50.4517	41.6631
9e+009	47.9168	41.6477
9.5e+009	45.7034	41.5001
1e+010	43.6871	41.5467
1.05e+010	41.4867	41.1419
1.1e+010	39.7079	40.6276
1.15e+010	37.9918	40.4532
1.2e+010	36.1715	39.929
1.25e+010	34.7325	39.2011
1.3e+010	33.2918	38.9538
1.35e+010	31.7758	38.3291
1.4e+010	30.7546	37.659
1.45e+010	29.5204	37.3287
1.5e+010	28.0874	36.6533
1.55e+010	27.4155	35.8956
1.6e+010	26.4383	35.7049
1.65e+010	25.1273	34.9522
1.7e+010	24.6576	34.2676
1.75e+010	23.8678	34.1639
1.8e+010	22.734	33.3012
1.85e+010	22.4499	32.7
1.9e+010	21.7278	32.6754
1.95e+010	20.7338	31.6368
2e+010	20.5916	31.1334
2.05e+010	19.7834	31.2866
2.1e+010	19.1542	30.2157
2.15e+010	19.1836	29.8792
2.2e+010	18.1119	30.0361
2.25e+010	17.7477	28.8565
2.3e+010	18.0036	28.7166
2.35e+010	16.7694	28.8542
2.4e+010	16.5995	27.6351
2.45e+010	17.0498	27.7663
2.5e+010	15.7922	27.6671
2.55e+010	15.7506	26.5541
2.6e+010	16.244	26.856
2.65e+010	14.9246	26.4618
