frequency	e'	e''
5e+008	90.5009	5.68598
1e+009	87.7591	9.29629
1.5e+009	86.5301	13.3458
2e+009	85.064	17.2379
2.5e+009	83.3494	20.9938
3e+009	81.0367	24.3701
3.5e+009	78.4715	27.43
4e+009	76.0206	30.2602
4.5e+009	73.2053	32.7465
5e+009	70.2376	34.7485
5.5e+009	67.4843	36.5665
6e+009	64.4674	38.0421
6.5e+009	61.5516	39.062
7e+009	58.8586	40.0542
7.5e+009	56.031	40.6619
8e+009	53.495	40.9964
8.5e+009	51.2051	41.426
9e+009	48.6741	41.4797
9.5e+009	46.4305	41.3807
1e+010	44.431	41.4443
1.05e+010	42.2444	41.1081
1.1e+010	40.4488	40.653
1.15e+010	38.732	40.5104
1.2e+010	36.8895	40.0349
1.25e+010	35.4104	39.3123
1.3e+010	33.9839	39.099
1.35e+010	32.462	38.5318
1.4e+010	31.392	37.8726
1.45e+010	30.1385	37.553
1.5e+010	28.6973	36.9017
1.55e+010	28.0037	36.1569
1.6e+010	27.0292	35.9786
1.65e+010	25.6624	35.2673
1.7e+010	25.1775	34.5711
1.75e+010	24.41	34.4704
1.8e+010	23.231	33.6501
1.85e+010	22.9019	33.0267
1.9e+010	22.2298	32.9992
1.95e+010	21.1752	31.9742
2e+010	21.0156	31.4393
2.05e+010	20.223	31.6589
2.1e+010	19.5394	30.5815
2.15e+010	19.5575	30.1976
2.2e+010	18.49	30.4228
2.25e+010	18.0792	29.21
2.3e+010	18.3717	29.0431
2.35e+010	17.112	29.2665
2.4e+010	16.85	28.0076
2.45e+010	17.3915	28.0773
2.5e+010	16.1203	28.0756
2.55e+010	16.0079	26.9041
2.6e+010	16.5558	27.1623
2.65e+010	15.2052	26.8175
