Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16
2025-08-29 13:44:18,27.140,26.954,27.260,26.777,26.687,27.146,26.972,27.009,20.549,20.893,21.268,-19.643,28.020,27.522,27.383,27.599
2025-08-29 13:44:19,27.255,27.047,27.326,26.866,26.815,27.211,27.062,27.051,20.466,20.976,21.315,-19.619,28.052,27.630,27.461,27.670
2025-08-29 13:44:20,27.182,26.947,27.317,26.775,26.822,27.215,27.018,27.070,20.305,20.993,21.295,-19.571,27.955,27.695,27.525,27.738
2025-08-29 13:44:21,26.941,26.708,27.244,26.432,26.495,27.120,26.860,26.980,20.763,21.128,21.358,-19.646,28.116,27.742,27.595,27.795
2025-08-29 13:44:22,26.905,26.732,27.296,26.533,26.476,27.094,26.838,26.972,21.328,21.290,21.373,-19.596,28.324,28.122,27.832,28.049
2025-08-29 13:44:23,26.929,26.758,27.228,26.571,26.527,27.122,26.878,26.918,21.085,21.189,21.272,-19.662,28.065,27.940,27.516,28.073
2025-08-29 13:44:25,27.025,26.810,27.248,26.581,26.570,27.113,26.863,26.939,21.185,21.280,21.245,-19.648,28.004,27.904,27.566,27.645
2025-08-29 13:44:26,26.914,26.738,27.234,26.496,26.502,27.108,26.810,26.929,21.112,21.295,21.261,-19.637,28.437,27.623,27.204,27.333
2025-08-29 13:44:27,26.881,26.700,27.230,26.474,26.454,27.108,26.823,26.917,20.831,21.092,21.250,-19.663,28.100,27.527,27.127,27.229
2025-08-29 13:44:28,26.911,26.698,27.232,26.572,26.472,27.105,26.853,26.922,20.932,20.805,21.293,-19.635,27.849,27.445,27.164,27.403
2025-08-29 13:44:29,26.924,26.732,27.228,26.608,26.529,27.116,26.826,26.934,20.599,20.767,21.248,-19.615,27.699,27.140,26.979,27.094
2025-08-29 13:44:30,26.929,26.702,27.225,26.571,26.562,27.110,26.881,26.946,20.529,20.773,21.254,-19.608,27.517,27.094,26.950,27.098
2025-08-29 13:44:31,26.997,26.794,27.236,26.678,26.677,27.120,26.847,26.939,20.431,20.757,21.259,-19.609,27.291,27.037,26.869,26.965
2025-08-29 13:44:32,27.035,26.812,27.231,26.728,26.686,27.125,26.882,26.957,20.410,20.811,21.258,-19.617,27.193,26.946,26.884,27.002
2025-08-29 13:44:34,27.037,26.857,27.237,26.744,26.714,27.143,26.931,26.968,20.342,20.828,21.259,-19.604,27.426,27.017,26.815,26.928
2025-08-29 13:44:35,27.095,26.864,27.240,26.791,26.737,27.125,26.942,26.989,20.153,20.826,21.263,-19.629,27.429,27.049,26.851,26.943
2025-08-29 13:44:36,27.171,26.908,27.230,26.829,26.776,27.141,26.965,26.979,20.042,20.836,21.257,-19.618,27.559,27.202,26.894,26.950
2025-08-29 13:44:37,27.217,27.024,27.258,26.888,26.828,27.144,26.998,26.991,19.922,20.845,21.247,-19.640,27.468,27.024,26.698,26.834
2025-08-29 13:44:38,27.217,26.985,27.251,26.980,26.874,27.154,27.027,27.004,19.848,20.854,21.250,-19.621,27.462,27.077,26.860,26.998
2025-08-29 13:44:39,27.128,26.923,27.240,26.866,26.823,27.153,26.970,26.995,19.769,20.868,21.270,-19.636,27.451,27.105,26.987,27.162
2025-08-29 13:44:40,27.167,26.916,27.239,26.860,26.780,27.136,26.994,26.995,19.686,20.883,21.259,-19.628,27.602,27.157,26.958,27.015
2025-08-29 13:44:41,27.085,26.896,27.248,26.865,26.782,27.148,26.964,27.013,19.609,20.886,21.247,-19.642,27.419,27.127,27.156,27.250
2025-08-29 13:44:42,27.129,26.901,27.243,26.853,26.792,27.072,26.946,27.009,19.528,20.879,21.242,-19.642,27.181,26.970,26.739,26.994
2025-08-29 13:44:44,27.090,26.890,27.191,26.843,26.806,27.086,26.968,26.979,19.352,20.806,21.195,-19.704,27.135,27.140,26.848,26.850
2025-08-29 13:44:45,27.122,26.927,27.186,26.827,26.823,27.100,26.974,26.980,19.165,20.812,21.181,-19.714,26.781,26.885,26.516,26.567
2025-08-29 13:44:46,27.170,26.961,27.184,26.864,26.806,27.102,26.978,26.984,19.059,20.804,21.194,-19.704,26.585,26.650,26.416,26.618
2025-08-29 13:44:47,27.249,27.079,27.214,26.924,26.859,27.100,27.008,26.982,18.957,20.782,21.157,-19.705,26.754,26.681,26.518,26.540
2025-08-29 13:44:48,27.268,27.091,27.222,27.151,26.910,27.099,27.038,26.994,18.828,20.758,21.188,-19.733,26.721,26.599,26.499,26.614
2025-08-29 13:44:49,27.285,27.099,27.208,27.148,27.002,27.121,27.068,27.033,18.726,20.756,21.160,-19.713,26.739,26.621,26.521,26.587
2025-08-29 13:44:50,27.312,27.136,27.210,27.182,27.045,27.125,27.053,27.027,18.615,20.735,21.161,-19.712,26.582,26.465,26.449,26.543
2025-08-29 13:44:51,27.325,27.163,27.207,27.155,27.014,27.124,27.084,27.054,18.520,20.725,21.163,-19.729,26.739,26.661,26.548,26.576
