Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16
2025-08-31 23:17:16,15.494,29.282,26.175,29.173,28.529,28.193,29.127,27.919,24.865,24.678,24.887,24.706,24.789,24.728,24.439,24.315
2025-08-31 23:17:26,15.597,29.334,26.070,29.246,28.864,28.304,29.228,28.146,25.020,24.899,25.079,24.845,25.268,25.064,24.975,24.858
2025-08-31 23:17:36,15.566,29.309,26.147,29.208,28.828,27.642,29.191,27.484,24.814,24.616,25.055,24.694,25.012,24.750,24.651,24.454
2025-08-31 23:17:46,15.583,29.263,26.307,29.350,28.824,27.826,29.158,27.770,24.936,24.769,24.944,24.674,24.888,24.801,24.806,24.703
2025-08-31 23:17:56,15.649,29.270,26.254,29.368,29.096,28.456,29.212,28.408,25.028,24.972,25.099,25.026,25.210,25.106,25.055,24.973
2025-08-31 23:18:06,15.610,29.246,25.995,29.226,29.053,27.921,29.212,27.992,25.035,24.961,25.064,24.867,25.321,25.376,25.359,25.277
2025-08-31 23:18:16,15.690,29.309,26.052,29.308,29.013,27.890,29.268,27.988,24.805,24.599,24.833,24.618,25.028,24.873,24.516,24.408
2025-08-31 23:18:26,15.725,29.278,25.928,28.938,28.978,27.775,29.232,27.868,24.881,24.686,24.856,24.655,24.751,24.758,24.603,24.407
2025-08-31 23:18:37,15.752,29.329,26.073,28.801,28.775,27.541,29.265,27.581,24.871,24.678,24.846,24.788,24.604,24.634,24.493,24.393
2025-08-31 23:18:47,15.814,29.383,26.143,28.615,28.623,27.319,29.294,27.300,24.744,24.331,24.622,24.473,24.541,24.443,24.415,24.322
2025-08-31 23:18:57,15.767,29.427,26.189,28.529,28.598,27.538,29.308,27.527,25.008,24.787,24.950,24.671,25.157,25.033,25.033,24.969
2025-08-31 23:19:07,15.688,29.478,26.062,28.696,28.562,27.638,29.327,27.613,24.965,24.853,24.993,24.820,24.881,24.820,24.781,24.724
2025-08-31 23:19:17,15.431,29.508,26.122,28.764,28.643,27.695,29.355,27.657,24.875,24.616,24.803,24.828,24.821,24.674,24.565,24.411
2025-08-31 23:19:27,15.174,29.555,26.045,28.886,28.645,27.490,29.381,27.528,24.828,24.685,24.769,24.549,24.864,24.486,24.514,24.338
2025-08-31 23:19:37,14.976,29.497,26.178,28.935,28.810,27.902,29.331,27.773,24.589,24.320,24.575,24.297,24.635,24.334,24.288,24.102
2025-08-31 23:19:47,14.970,29.582,26.164,29.043,28.899,27.872,29.431,27.867,24.840,24.638,24.789,24.440,24.890,24.783,24.690,24.624
2025-08-31 23:19:58,14.961,29.657,26.223,29.149,28.992,27.727,29.440,27.663,25.026,24.914,25.069,24.587,25.514,25.360,25.122,25.259
2025-08-31 23:20:08,14.908,29.574,26.241,28.974,28.693,27.025,29.448,26.877,25.288,25.321,25.230,25.184,26.034,25.793,25.943,25.943
2025-08-31 23:20:18,14.948,29.491,26.245,28.782,28.387,26.991,29.379,26.765,25.515,25.564,25.446,25.589,26.360,26.266,26.274,26.212
2025-08-31 23:20:28,14.874,29.376,26.293,29.174,28.497,27.515,29.283,27.510,25.641,25.765,25.609,25.812,26.525,26.402,26.443,26.448
2025-08-31 23:20:38,14.899,29.296,26.193,29.183,28.579,27.356,29.198,27.214,25.541,25.652,25.568,25.677,26.229,26.140,26.138,26.123
2025-08-31 23:20:48,15.164,29.252,26.309,29.434,28.735,27.760,29.197,27.705,25.688,25.808,25.644,26.060,26.704,26.649,26.609,26.581
2025-08-31 23:20:58,15.090,29.204,26.204,29.605,28.974,28.232,29.207,28.094,25.696,25.922,25.715,26.103,26.941,26.703,26.732,26.777
2025-08-31 23:21:08,15.051,29.162,26.104,29.448,28.950,27.495,29.182,27.413,25.506,25.592,25.665,25.795,26.875,26.504,26.548,26.530
2025-08-31 23:21:19,15.084,29.072,26.118,29.312,28.730,27.485,29.137,27.504,25.491,25.566,25.583,25.305,26.329,26.007,26.084,26.134
2025-08-31 23:21:29,15.088,29.019,26.205,29.039,28.541,27.093,29.059,27.106,25.319,25.335,25.492,25.265,25.753,25.232,25.176,25.302
2025-08-31 23:21:39,15.092,28.931,26.050,29.234,28.635,28.039,28.997,27.993,25.048,24.962,25.216,24.947,25.258,24.907,24.829,24.705
2025-08-31 23:21:49,15.170,28.986,26.135,29.239,28.822,28.251,29.068,28.287,25.225,25.336,25.407,24.988,25.869,25.490,25.377,25.266
2025-08-31 23:21:59,15.318,29.056,26.234,29.414,28.984,28.034,29.068,27.831,25.602,25.621,25.650,25.555,26.363,26.211,26.071,26.013
2025-08-31 23:22:09,15.268,29.036,26.144,29.038,28.687,27.267,29.036,27.223,25.503,25.579,25.628,25.366,26.188,26.135,26.028,25.980
2025-08-31 23:22:19,15.241,29.003,26.331,29.070,28.480,27.121,29.024,27.062,25.185,25.155,25.366,25.042,25.627,25.460,25.321,25.237
2025-08-31 23:22:29,15.169,28.868,26.171,29.306,28.526,27.828,28.879,27.712,25.203,25.176,25.374,25.300,25.010,25.232,25.018,24.992
2025-08-31 23:22:39,15.291,28.920,26.405,28.919,28.468,27.451,28.910,27.511,25.091,24.911,25.164,24.981,25.000,25.040,24.963,24.875
2025-08-31 23:22:50,15.375,28.997,26.259,28.844,28.514,27.575,28.953,27.602,24.982,24.834,25.011,24.800,24.690,24.633,24.740,24.543
2025-08-31 23:23:00,15.375,29.057,26.284,28.904,28.628,27.833,29.045,27.901,24.872,24.670,24.943,24.655,24.768,24.590,24.502,24.379
2025-08-31 23:23:10,15.474,29.129,26.126,29.057,28.644,27.816,29.104,27.832,25.124,25.019,25.080,24.838,25.347,25.155,25.106,25.007
2025-08-31 23:23:20,15.459,29.191,26.151,29.207,28.847,27.854,29.162,27.881,25.243,25.260,25.310,24.976,25.978,25.988,25.767,25.761
2025-08-31 23:23:30,15.544,29.224,26.171,29.182,28.909,27.971,29.185,28.021,24.938,24.686,24.996,24.923,24.985,24.755,24.824,24.734
2025-08-31 23:23:40,15.570,29.188,26.100,29.039,28.814,27.673,29.171,27.789,25.075,24.846,25.068,24.887,25.570,25.273,25.363,25.203
2025-08-31 23:23:50,15.631,29.249,26.095,28.945,28.803,27.972,29.197,27.917,24.998,24.796,25.091,24.981,25.007,24.836,24.713,24.723
2025-08-31 23:24:00,15.656,29.306,26.166,28.652,28.633,27.504,29.240,27.548,24.999,24.773,24.991,24.846,24.630,24.608,24.510,24.365
2025-08-31 23:24:11,15.688,29.305,26.071,28.599,28.532,27.137,29.197,27.134,24.706,24.379,24.765,24.468,24.335,24.055,24.016,23.884
2025-08-31 23:42:30,16.192,29.667,26.099,29.790,29.355,28.093,29.554,28.142,25.049,24.879,24.986,24.738,25.298,24.990,24.826,24.741
2025-08-31 23:42:40,16.264,29.565,26.146,29.663,29.216,27.500,29.532,27.679,24.861,24.595,24.768,24.609,24.843,24.522,24.346,24.233
2025-08-31 23:42:51,16.025,29.541,26.178,29.685,29.186,28.220,29.512,28.343,25.109,24.987,25.002,24.890,25.094,24.985,24.901,24.841
2025-08-31 23:43:01,15.857,29.535,26.313,29.632,29.275,27.694,29.497,27.806,25.115,24.982,25.044,24.965,25.257,24.858,25.080,24.916
2025-08-31 23:43:11,15.766,29.550,26.153,29.444,28.784,27.134,29.479,26.935,25.261,25.212,25.217,25.240,25.676,25.350,25.236,25.136
2025-08-31 23:43:21,15.621,29.503,26.124,29.255,28.503,26.938,29.380,26.671,25.370,25.402,25.304,25.309,26.278,26.086,26.103,26.003
2025-08-31 23:43:31,15.632,29.483,26.090,29.255,28.441,26.957,29.395,26.732,25.494,25.626,25.439,25.581,26.744,26.482,26.361,26.350
2025-08-31 23:43:41,15.509,29.404,26.179,29.123,28.281,26.950,29.317,26.857,25.474,25.573,25.529,25.667,26.548,26.104,26.010,25.995
2025-08-31 23:43:51,15.409,29.384,26.218,29.043,28.291,26.944,29.292,26.792,25.468,25.492,25.502,25.677,26.328,25.923,26.021,25.981
2025-08-31 23:44:01,15.366,29.270,26.204,29.121,28.184,26.806,29.136,26.786,25.636,25.792,25.664,25.747,26.691,26.567,26.365,26.249
2025-08-31 23:44:11,15.443,29.280,26.214,28.989,28.179,26.881,29.126,26.669,25.641,25.834,25.750,25.814,26.468,26.287,26.173,26.122
2025-08-31 23:44:22,15.595,29.242,26.118,29.008,28.101,26.763,29.104,26.639,25.484,25.573,25.706,25.407,26.286,26.130,26.080,26.066
2025-08-31 23:44:32,15.558,29.203,26.183,28.902,28.039,26.698,29.074,26.617,25.216,25.147,25.301,25.017,25.674,25.219,25.392,25.315
2025-08-31 23:44:42,15.484,29.140,26.093,29.356,28.425,27.897,29.034,27.401,25.102,25.047,25.238,24.922,25.337,25.240,25.194,25.022
2025-08-31 23:44:52,15.569,29.085,26.263,29.289,28.511,27.367,29.037,27.185,25.205,25.123,25.335,25.139,25.764,25.386,25.451,25.350
2025-08-31 23:45:02,15.483,29.130,26.278,29.299,28.429,27.112,29.002,26.931,25.618,25.692,25.682,25.746,26.251,26.128,26.045,26.036
2025-08-31 23:45:12,15.640,29.086,26.191,29.266,28.266,26.888,29.031,26.765,25.597,25.618,25.662,25.560,26.312,26.160,26.168,26.109
2025-08-31 23:45:22,15.377,28.994,26.040,28.985,28.046,26.767,28.928,26.663,25.170,25.078,25.501,25.139,25.979,25.453,25.425,25.310
2025-08-31 23:45:32,15.497,28.912,26.079,29.216,28.151,27.481,28.851,27.416,25.186,25.109,25.291,25.028,25.061,24.967,24.810,24.631
2025-08-31 23:45:43,15.506,28.954,26.193,29.515,28.464,27.676,28.909,27.625,24.979,24.808,25.107,24.853,24.895,24.696,24.532,24.465
2025-08-31 23:45:53,15.604,29.020,26.356,29.756,28.774,28.252,28.979,28.191,25.230,25.142,25.296,25.016,24.685,25.137,24.945,24.692
2025-08-31 23:46:03,15.814,29.045,26.201,29.820,29.065,28.406,29.057,28.393,24.908,24.610,24.911,24.659,24.447,24.398,24.420,24.237
2025-08-31 23:46:13,15.673,29.091,26.241,29.844,29.214,28.385,29.115,28.311,25.063,24.982,25.180,25.044,25.494,25.306,25.283,25.099
2025-08-31 23:46:23,15.693,29.097,26.081,29.767,29.178,27.709,29.195,27.818,25.112,24.946,25.143,24.816,25.538,25.229,25.133,25.185
2025-08-31 23:46:33,15.706,29.068,26.013,29.533,28.854,27.788,29.047,27.685,25.302,25.178,25.243,25.252,25.234,25.153,25.074,24.908
2025-08-31 23:46:43,15.782,29.020,26.020,29.267,28.603,27.442,29.110,27.535,25.101,24.902,25.050,24.970,25.159,24.874,24.786,24.683
2025-08-31 23:46:53,15.816,29.100,26.010,29.199,28.573,27.424,29.089,27.528,24.993,24.756,25.006,24.631,25.059,24.982,24.827,24.670
2025-08-31 23:47:04,15.719,29.088,25.891,28.877,28.387,27.301,29.057,27.238,25.011,24.909,25.029,24.666,24.925,24.964,24.976,24.898
2025-08-31 23:47:14,15.808,29.182,25.953,28.723,28.309,27.213,29.131,27.216,24.900,24.615,24.882,24.661,24.777,24.666,24.640,24.465
2025-08-31 23:47:24,15.895,29.205,25.952,28.937,28.446,27.468,29.139,27.593,25.052,24.761,24.929,24.717,24.792,24.942,24.865,24.704
2025-08-31 23:47:34,15.988,29.263,25.887,28.947,28.423,27.504,29.172,27.450,24.909,24.751,24.916,24.886,24.961,24.612,24.814,24.689
2025-08-31 23:47:44,16.044,29.307,25.680,29.032,28.610,27.843,29.206,27.927,25.258,25.272,25.144,25.290,25.684,25.551,25.538,25.521
2025-08-31 23:47:54,16.076,29.354,25.671,29.089,28.766,27.340,29.273,27.502,25.262,25.226,25.319,25.241,25.956,25.745,25.813,25.504
2025-08-31 23:48:04,16.051,29.273,25.796,28.967,28.401,27.180,29.139,27.232,24.765,24.457,24.749,24.575,24.919,24.480,24.598,24.568
2025-08-31 23:48:14,16.036,29.167,25.897,29.055,28.616,27.629,29.156,27.565,24.924,24.743,24.905,24.900,25.034,24.906,24.828,24.791
2025-08-31 23:48:24,16.055,29.199,25.830,28.953,28.640,27.725,29.193,27.737,24.889,24.592,24.935,24.922,24.893,24.737,24.654,24.491
2025-08-31 23:48:35,16.147,29.201,26.036,28.993,28.475,27.223,29.151,27.216,25.009,24.948,25.068,24.804,25.101,25.082,25.038,24.960
2025-08-31 23:48:45,16.230,29.292,26.148,28.736,28.401,27.332,29.199,27.326,24.974,24.787,24.975,24.714,25.005,24.885,24.751,24.703
2025-08-31 23:48:55,16.220,29.393,26.015,29.078,28.688,28.000,29.272,28.030,25.046,24.828,25.076,24.783,25.234,25.273,25.275,25.019
2025-08-31 23:49:05,16.106,29.282,26.134,29.269,28.716,27.483,29.168,27.564,24.898,24.766,24.965,24.719,25.076,24.861,25.032,24.971
2025-08-31 23:49:15,15.851,29.205,26.136,29.363,28.812,28.174,29.130,28.066,24.544,24.198,24.508,24.224,24.278,24.341,24.347,24.233
2025-08-31 23:49:25,15.760,29.307,26.304,29.370,28.804,27.872,29.170,27.987,24.585,24.322,24.667,24.258,24.051,24.285,24.204,23.926
2025-08-31 23:49:35,15.569,29.298,26.171,29.095,28.769,27.662,29.235,27.750,24.796,24.594,24.745,24.462,24.363,24.531,24.180,24.071
2025-08-31 23:49:45,15.492,29.347,26.336,28.944,28.719,27.830,29.248,27.892,24.629,24.368,24.600,24.392,24.616,24.462,24.515,24.486
2025-08-31 23:49:56,15.511,29.425,26.115,29.188,28.923,27.698,29.342,27.588,25.190,25.080,25.083,25.078,25.539,25.538,25.397,25.355
2025-08-31 23:50:06,15.525,29.375,26.158,29.017,28.689,27.073,29.263,26.987,25.367,25.372,25.237,25.325,25.823,25.821,25.791,25.768
2025-08-31 23:50:16,15.661,29.365,26.091,28.987,28.340,26.855,29.242,26.818,25.281,25.281,25.329,24.988,25.573,25.644,25.667,25.651
2025-08-31 23:50:26,15.466,29.259,26.142,28.887,28.186,26.768,29.124,26.724,25.220,25.164,25.179,25.151,25.370,25.407,25.219,25.023
2025-08-31 23:50:36,15.436,29.170,26.048,29.065,28.274,27.411,29.042,27.366,24.967,24.744,24.943,24.739,25.304,25.155,24.967,24.850
2025-08-31 23:50:46,15.571,29.253,26.140,29.096,28.447,27.690,29.121,27.669,25.265,25.269,25.325,25.146,26.014,25.919,25.918,25.728
2025-08-31 23:50:56,15.506,29.205,26.150,29.305,28.601,27.393,29.088,27.382,25.272,25.206,25.282,25.260,25.919,25.646,25.648,25.445
2025-08-31 23:51:06,15.607,29.167,26.072,28.992,28.330,27.022,29.061,26.899,25.399,25.443,25.467,25.412,26.218,26.176,26.114,26.045
2025-08-31 23:51:17,15.722,29.119,26.306,29.137,28.381,27.118,29.099,27.109,25.583,25.545,25.526,25.565,26.440,26.184,26.177,26.184
2025-08-31 23:51:27,15.599,29.050,26.246,29.133,28.284,27.153,28.981,27.035,25.289,25.360,25.468,25.114,26.191,25.932,25.877,25.839
2025-08-31 23:51:37,15.536,28.971,26.301,29.136,28.257,27.481,28.888,27.554,25.189,25.120,25.257,25.097,25.626,25.318,25.219,25.108
2025-08-31 23:51:47,15.685,29.021,26.317,29.059,28.348,27.434,28.938,27.488,25.197,25.149,25.271,25.139,25.397,25.458,25.328,25.198
