Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16
2025-09-01 08:42:42,15.960,27.467,25.363,27.569,27.291,26.790,27.206,26.795,24.327,24.164,24.333,24.160,24.601,24.323,24.147,24.021
2025-09-01 08:42:52,16.179,27.379,25.226,27.373,27.240,26.360,27.173,26.345,24.178,24.113,24.289,24.025,24.134,24.037,24.132,24.076
2025-09-01 08:43:03,16.037,27.394,25.257,27.395,27.274,26.616,27.182,26.541,24.212,24.081,24.244,24.081,24.256,24.259,24.097,23.942
2025-09-01 08:43:13,15.998,27.357,25.351,27.194,27.261,26.637,27.151,26.570,23.902,23.565,23.831,23.555,23.702,23.474,23.354,23.148
2025-09-01 08:43:23,16.125,27.422,25.448,27.212,27.318,26.647,27.182,26.521,23.904,23.597,23.904,23.590,23.661,23.641,23.550,23.488
2025-09-01 08:43:33,16.013,27.461,25.324,27.289,27.360,26.770,27.198,26.571,24.010,23.763,23.949,23.759,23.847,23.713,23.672,23.622
2025-09-01 08:43:43,16.053,27.455,25.251,27.413,27.411,26.928,27.270,26.783,24.008,23.765,23.902,23.796,24.031,23.736,23.708,23.562
2025-09-01 08:43:53,15.760,27.486,25.257,27.578,27.442,26.703,27.260,26.636,24.259,24.109,24.119,24.024,24.352,24.269,24.173,24.012
2025-09-01 08:44:03,15.631,27.488,25.388,27.716,27.437,26.896,27.280,26.804,24.139,23.915,24.115,23.993,23.769,23.853,23.721,23.613
2025-09-01 08:44:13,15.680,27.559,25.564,27.652,27.541,27.049,27.382,26.990,24.207,24.009,24.138,24.227,23.903,23.934,23.844,23.747
2025-09-01 08:44:24,15.484,27.575,25.575,27.757,27.641,27.288,27.391,27.193,24.323,24.177,24.270,24.138,24.279,24.336,24.135,24.040
2025-09-01 08:44:34,15.375,27.617,25.548,27.774,27.719,27.292,27.423,27.128,24.498,24.503,24.462,24.494,25.029,24.879,24.691,24.598
2025-09-01 08:44:44,15.200,27.655,25.433,27.723,27.658,26.733,27.495,26.633,24.600,24.666,24.588,24.522,25.275,25.156,24.938,24.855
2025-09-01 08:44:54,15.215,27.662,25.335,27.524,27.427,26.406,27.478,26.156,24.582,24.603,24.609,24.444,25.456,25.229,25.203,25.140
2025-09-01 08:45:04,15.154,27.643,25.341,27.394,27.280,26.188,27.454,25.984,24.709,24.811,24.729,24.650,25.718,25.523,25.366,25.342
2025-09-01 08:45:14,15.035,27.621,25.349,27.259,27.129,26.126,27.430,25.904,24.706,24.737,24.704,24.664,25.708,25.370,25.502,25.477
2025-09-01 08:45:24,14.642,27.596,25.357,27.326,27.092,26.182,27.402,25.961,24.860,24.958,24.823,24.880,25.959,25.473,25.438,25.325
2025-09-01 08:45:34,14.822,27.647,25.324,27.291,27.067,26.209,27.447,25.975,24.964,25.136,24.860,25.075,25.836,25.645,25.621,25.581
2025-09-01 08:45:45,14.758,27.617,25.323,27.289,27.008,26.123,27.407,25.939,25.009,25.207,25.050,25.334,25.819,25.739,25.675,25.671
2025-09-01 08:45:55,14.616,27.593,25.303,27.220,26.979,26.208,27.399,25.996,24.895,25.056,25.033,24.914,25.925,25.797,25.638,25.575
2025-09-01 08:46:05,14.464,27.524,25.186,27.072,26.896,26.002,27.300,25.907,24.353,24.281,24.550,24.218,24.614,24.209,24.295,24.240
2025-09-01 08:46:15,14.502,27.525,25.337,27.323,27.024,26.277,27.293,26.262,24.470,24.442,24.636,24.329,25.044,24.684,24.683,24.619
2025-09-01 08:46:25,14.486,27.482,25.527,27.306,27.068,26.403,27.302,26.287,24.562,24.587,24.695,24.557,25.054,24.969,24.953,24.776
2025-09-01 08:46:35,14.652,27.459,25.477,27.413,27.130,26.373,27.276,26.240,24.798,24.886,24.875,24.937,25.423,25.406,25.374,25.349
2025-09-01 08:46:45,14.612,27.423,25.328,27.207,26.992,26.151,27.286,25.901,24.654,24.740,24.812,24.762,25.303,25.028,25.074,25.018
2025-09-01 08:46:55,14.652,27.421,25.340,27.218,27.025,26.192,27.267,26.029,24.585,24.525,24.730,24.916,24.801,24.633,24.662,24.641
2025-09-01 08:47:05,14.116,27.350,25.528,27.353,27.008,26.344,27.197,26.377,24.459,24.379,24.653,24.453,24.164,24.348,24.257,24.200
2025-09-01 08:47:16,14.256,27.358,25.600,27.346,27.149,26.739,27.239,26.645,24.283,24.145,24.339,24.109,24.260,24.230,24.011,23.878
2025-09-01 08:47:26,14.416,27.346,25.508,27.437,27.197,26.836,27.184,26.682,24.092,23.902,24.254,23.870,23.955,23.798,23.650,23.514
2025-09-01 08:47:36,14.411,27.356,25.536,27.394,27.387,26.885,27.241,26.741,24.204,24.049,24.203,24.016,23.821,23.981,23.956,23.845
2025-09-01 08:47:46,14.331,27.490,25.655,27.420,27.381,26.837,27.303,26.820,24.440,24.291,24.344,24.283,24.220,24.207,24.464,24.312
2025-09-01 08:47:56,14.493,27.478,25.588,27.443,27.385,26.563,27.357,26.438,24.505,24.464,24.615,24.418,25.120,24.884,24.850,24.760
2025-09-01 08:48:06,14.002,27.481,25.448,27.353,27.256,26.398,27.351,26.211,24.685,24.697,24.706,24.617,25.128,24.970,24.786,24.635
2025-09-01 08:48:16,14.274,27.482,25.499,27.501,27.370,26.995,27.364,26.881,24.698,24.610,24.721,24.715,24.992,24.916,24.854,24.713
2025-09-01 08:48:26,14.078,27.479,25.572,27.640,27.477,26.861,27.372,26.970,24.496,24.392,24.565,24.325,24.658,24.598,24.668,24.630
2025-09-01 08:48:37,13.973,27.505,25.421,27.728,27.530,26.745,27.371,26.709,24.262,24.039,24.383,24.216,24.236,23.955,24.069,23.980
2025-09-01 08:48:47,13.880,27.493,25.616,27.787,27.528,26.828,27.393,26.827,24.009,23.753,24.086,23.684,23.582,23.677,23.612,23.560
2025-09-01 08:48:57,13.874,27.528,25.666,27.896,27.578,26.807,27.379,26.805,24.049,23.841,24.065,23.768,23.837,23.754,23.700,23.594
2025-09-01 08:49:07,13.814,27.580,25.551,27.965,27.656,26.765,27.462,26.693,24.136,23.972,24.166,23.772,24.228,24.031,23.898,23.751
2025-09-01 08:49:17,13.821,27.628,25.637,27.800,27.506,26.495,27.522,26.442,24.768,24.779,24.715,24.625,25.182,25.031,25.055,25.055
2025-09-01 08:49:27,13.473,27.640,25.318,27.651,27.346,26.193,27.427,26.119,24.615,24.446,24.629,24.383,25.273,24.858,24.792,24.880
2025-09-01 08:49:37,13.427,27.610,25.341,27.464,27.297,26.173,27.474,25.987,24.232,24.083,24.344,23.992,24.779,24.286,24.097,24.046
2025-09-01 08:49:47,13.670,27.572,25.471,27.556,27.250,26.470,27.407,26.370,24.335,24.179,24.337,24.206,24.559,24.420,24.281,24.236
2025-09-01 08:49:58,13.447,27.547,25.393,27.761,27.389,26.813,27.401,26.746,24.228,24.027,24.292,23.952,24.406,24.269,24.153,24.069
