Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16
2025-09-01 20:50:23,18.155,16.680,25.761,25.959,25.758,25.660,25.755,25.784,23.415,23.295,23.559,23.323,23.986,23.756,23.895,24.025
2025-09-01 20:50:33,18.387,16.613,25.728,25.964,25.756,25.532,25.725,25.757,23.665,23.772,23.842,23.454,24.210,24.182,24.265,24.363
2025-09-01 20:50:43,18.083,16.452,25.705,25.860,25.709,25.458,25.689,25.665,24.018,24.098,24.057,24.042,24.705,24.711,24.697,24.747
2025-09-01 20:50:53,18.012,16.321,25.654,25.843,25.661,25.384,25.567,25.500,23.779,23.842,23.945,24.174,24.422,24.602,24.485,24.498
2025-09-01 20:51:03,18.073,16.335,25.622,25.789,25.621,25.292,25.549,25.537,24.129,24.315,24.216,24.385,24.922,25.001,25.047,25.095
2025-09-01 20:51:13,18.025,16.236,25.570,25.821,25.600,25.344,25.566,25.559,23.896,23.981,24.108,24.123,24.965,24.930,24.857,24.894
2025-09-01 20:51:23,17.988,16.248,25.604,25.885,25.701,25.337,25.564,25.617,24.284,24.457,24.364,24.668,25.551,25.428,25.461,25.611
2025-09-01 20:51:33,18.120,16.214,25.681,25.870,25.713,25.396,25.663,25.586,24.337,24.470,24.398,24.716,25.397,25.522,25.574,25.702
2025-09-01 20:51:44,18.088,16.108,25.551,25.782,25.620,25.299,25.445,25.465,24.216,24.369,24.380,24.451,25.263,25.372,25.300,25.364
2025-09-01 20:51:54,18.148,16.077,25.517,25.813,25.582,25.294,25.423,25.462,24.139,24.282,24.371,24.224,25.275,25.117,25.121,25.483
2025-09-01 20:52:04,18.340,16.134,25.686,25.879,25.707,25.479,25.634,25.661,24.096,24.272,24.386,23.892,24.891,24.622,24.711,24.708
2025-09-01 20:52:14,18.103,16.088,25.752,25.904,25.790,25.525,25.720,25.693,23.952,24.110,24.282,23.999,24.268,24.240,24.400,24.439
2025-09-01 20:52:24,18.138,16.068,25.755,25.920,25.785,25.584,25.726,25.793,24.198,24.293,24.424,24.090,24.852,24.629,24.782,24.758
2025-09-01 20:52:34,17.954,16.022,25.745,26.018,25.817,25.490,25.734,25.627,24.352,24.525,24.526,24.839,25.277,25.352,25.282,25.263
2025-09-01 20:52:44,17.591,15.873,25.686,25.942,25.806,25.453,25.692,25.653,24.160,24.393,24.474,24.166,25.160,25.118,25.348,25.422
2025-09-01 20:52:54,16.611,15.696,25.635,25.965,25.797,25.462,25.690,25.621,24.249,24.363,24.477,24.236,24.786,24.662,24.791,24.985
2025-09-01 20:53:04,17.225,15.492,25.846,26.017,25.948,25.557,25.783,25.736,23.894,23.796,24.073,23.927,23.669,23.646,23.798,23.812
2025-09-01 20:53:15,17.192,15.223,25.845,26.038,25.905,25.603,25.793,25.761,23.844,23.865,24.134,23.899,23.929,24.364,24.222,24.260
2025-09-01 20:53:25,16.294,14.734,25.860,26.054,25.966,25.612,25.810,25.757,23.475,23.344,23.744,23.326,23.629,23.641,23.668,23.563
2025-09-01 20:53:35,17.609,14.570,25.913,26.124,25.965,25.693,25.870,25.845,23.830,23.831,24.004,23.811,23.937,23.846,24.013,23.975
2025-09-01 20:53:45,16.525,14.402,25.892,26.122,25.998,25.702,25.881,25.833,24.054,24.004,24.149,23.998,24.658,24.697,24.761,24.770
2025-09-01 20:53:55,16.787,14.257,25.832,26.069,25.833,25.652,25.830,25.839,23.947,23.916,24.050,23.759,24.506,24.484,24.565,24.670
2025-09-01 20:54:05,16.663,14.177,25.757,26.120,25.954,25.590,25.777,25.724,23.822,23.860,24.066,23.924,23.891,23.737,23.950,23.999
2025-09-01 20:54:15,15.402,14.059,25.857,26.116,25.979,25.668,25.861,25.793,23.980,24.059,24.202,23.936,24.337,24.309,24.427,24.463
