frequency	e'	e''
5e+008	89.2433	-0.982328
1e+009	88.1343	6.31665
1.5e+009	87.1598	11.69
2e+009	85.4836	16.3445
2.5e+009	83.4122	20.5964
3e+009	81.0067	24.3925
3.5e+009	78.2845	27.7564
4e+009	75.3937	30.676
4.5e+009	72.4144	33.2126
5e+009	69.3946	35.3847
5.5e+009	66.3163	37.1711
6e+009	63.1899	38.5625
6.5e+009	60.1642	39.6523
7e+009	57.2569	40.5006
7.5e+009	54.4736	41.0579
8e+009	51.8291	41.4265
8.5e+009	49.2778	41.6128
9e+009	46.8692	41.6089
9.5e+009	44.6002	41.514
1e+010	42.4263	41.2751
1.05e+010	40.4335	40.9453
1.1e+010	38.56	40.5656
1.15e+010	36.7623	40.0969
1.2e+010	35.1489	39.5903
1.25e+010	33.6187	39.0609
1.3e+010	32.1571	38.4844
1.35e+010	30.8397	37.9102
1.4e+010	29.599	37.3326
1.45e+010	28.4063	36.7028
1.5e+010	27.3335	36.1172
1.55e+010	26.3398	35.5441
1.6e+010	25.3711	34.9099
1.65e+010	24.5002	34.3447
1.7e+010	23.6607	33.8138
1.75e+010	22.8961	33.1973
1.8e+010	22.199	32.6723
1.85e+010	21.4872	32.1714
1.9e+010	20.8862	31.602
1.95e+010	20.3213	31.0811
2e+010	19.7111	30.6176
2.05e+010	19.2119	30.1164
2.1e+010	18.7688	29.6792
2.15e+010	18.2419	29.211
2.2e+010	17.8175	28.743
2.25e+010	17.4648	28.375
2.3e+010	17.0411	27.9255
2.35e+010	16.6971	27.4566
2.4e+010	16.3833	27.1884
2.45e+010	16.0378	26.7518
2.5e+010	15.8075	26.3112
2.55e+010	15.5001	26.0501
2.6e+010	15.2011	25.641
2.65e+010	15.0101	25.2094
