frequency	e'	e''
5e+008	79.3264	-3.14103
1e+009	79.6453	1.67364
1.5e+009	79.3946	4.8109
2e+009	78.9992	7.4518
2.5e+009	78.4964	9.77177
3e+009	77.8205	12.0925
3.5e+009	76.9519	14.2279
4e+009	76.0815	16.2221
4.5e+009	75.0785	18.1907
5e+009	74.0002	20.0258
5.5e+009	72.8167	21.7115
6e+009	71.5365	23.3279
6.5e+009	70.3049	24.8515
7e+009	69.0142	26.2823
7.5e+009	67.6306	27.585
8e+009	66.1992	28.817
8.5e+009	64.7609	29.912
9e+009	63.2993	30.9055
9.5e+009	61.8447	31.9084
1e+010	60.3662	32.7348
1.05e+010	59.0065	33.5348
1.1e+010	57.5024	34.1673
1.15e+010	56.0321	34.7157
1.2e+010	54.7045	35.2512
1.25e+010	53.216	35.7164
1.3e+010	51.8497	36.0574
1.35e+010	50.5827	36.4505
1.4e+010	49.2449	36.7023
1.45e+010	47.933	36.8635
1.5e+010	46.7039	37.1051
1.55e+010	45.5446	37.2344
1.6e+010	44.2771	37.2295
1.65e+010	43.1166	37.3161
1.7e+010	42.0046	37.3946
1.75e+010	41.0101	37.2418
1.8e+010	39.9445	37.2581
1.85e+010	38.8328	37.2479
1.9e+010	38.0021	36.9873
1.95e+010	36.9636	36.8384
2e+010	35.9093	36.7483
2.05e+010	35.1207	36.5992
2.1e+010	34.3541	36.3977
2.15e+010	33.2995	36.2156
2.2e+010	32.5167	35.9666
2.25e+010	31.9124	35.9045
2.3e+010	31.0752	35.5626
2.35e+010	30.2715	35.1628
2.4e+010	29.7233	35.2569
2.45e+010	28.9524	34.8462
2.5e+010	28.4634	34.2744
2.55e+010	27.8791	34.3768
2.6e+010	27.14	34.0388
2.65e+010	26.6097	33.3594
