frequency	e'	e''
5e+008	88.6878	2.3676
1.5e+009	86.2098	12.5793
2.5e+009	82.4502	20.7969
3.5e+009	77.4159	27.5805
4.5e+009	71.6697	32.7582
5.5e+009	65.7579	36.5784
6.5e+009	59.7881	38.9774
7.5e+009	54.2574	40.3218
8.5e+009	49.1821	40.8519
9.5e+009	44.6253	40.7905
1.05e+010	40.5986	40.2663
1.15e+010	37.019	39.4437
1.25e+010	33.8856	38.4759
1.35e+010	31.2162	37.4211
1.45e+010	28.808	36.2414
1.55e+010	26.7213	35.1495
1.65e+010	24.9368	34.0386
1.75e+010	23.355	32.9207
1.85e+010	21.9062	31.926
1.95e+010	20.7457	30.9367
2.05e+010	19.6556	30.0018
2.15e+010	18.6444	29.1052
2.25e+010	17.8679	28.3533
2.35e+010	17.1009	27.4731
2.45e+010	16.4053	26.744
2.55e+010	15.8583	26.0918
2.65e+010	15.3742	25.2771
