frequency	e'	e''
5e+008	81.2764	5.33517
1.5e+009	79.0277	12.0852
2.5e+009	75.7735	18.8229
3.5e+009	71.622	24.5428
4.5e+009	66.9262	29.2229
5.5e+009	61.8695	32.9215
6.5e+009	56.5485	35.4361
7.5e+009	51.4807	36.8961
8.5e+009	46.8368	37.5628
9.5e+009	42.6301	37.6445
1.05e+010	38.8603	37.3111
1.15e+010	35.4928	36.6773
1.25e+010	32.5854	35.8707
1.35e+010	30.0173	34.933
1.45e+010	27.759	33.9413
1.55e+010	25.7836	32.9789
1.65e+010	24.0592	31.9715
1.75e+010	22.5286	31.0276
1.85e+010	21.1777	30.1104
1.95e+010	20.0293	29.2374
2.05e+010	18.94	28.3896
2.15e+010	17.9941	27.5804
2.25e+010	17.1585	26.8432
2.35e+010	16.4118	26.068
2.45e+010	15.7534	25.4123
2.55e+010	15.156	24.76
2.65e+010	14.6323	24.0883
