Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16
2025-09-02 20:46:25,19.374,24.091,25.421,25.596,25.058,25.349,25.810,25.281,24.040,24.106,24.353,24.059,24.132,24.562,24.543,24.616
2025-09-02 20:46:30,19.036,24.112,25.478,25.606,25.128,24.980,25.688,24.992,23.481,23.579,23.478,23.897,24.027,23.865,23.905,23.946
2025-09-02 20:46:35,19.064,24.216,25.490,25.616,25.097,25.264,25.743,25.147,23.247,23.387,23.435,23.836,24.009,23.638,23.581,23.564
2025-09-02 20:46:40,19.363,24.351,25.509,25.653,25.065,25.367,25.790,25.347,23.253,23.289,23.355,23.773,23.868,23.652,23.651,23.685
2025-09-02 20:46:46,19.436,24.336,25.560,25.707,25.048,25.437,25.859,25.421,23.412,23.563,23.708,24.036,24.006,23.742,23.725,23.754
2025-09-02 20:46:51,19.846,24.734,25.492,25.680,25.060,25.370,25.781,25.174,23.496,23.590,23.659,23.986,23.981,23.738,23.747,23.722
2025-09-02 20:46:56,19.994,24.806,25.466,25.652,25.082,24.908,25.695,24.734,23.317,23.385,23.475,23.985,24.029,23.680,23.649,23.710
2025-09-02 20:47:01,20.103,24.318,25.475,25.631,24.780,25.100,25.728,24.907,23.695,23.760,24.020,23.966,24.058,24.056,24.102,24.155
2025-09-02 20:47:06,20.121,23.888,25.475,25.652,24.920,25.338,25.798,25.222,23.809,23.863,23.986,24.149,24.166,24.341,24.366,24.383
2025-09-02 20:47:11,20.037,24.051,25.477,25.590,24.990,25.205,25.753,25.203,23.364,23.446,23.547,23.901,24.101,23.898,23.876,24.018
2025-09-02 20:47:16,20.253,24.435,25.437,25.540,24.999,25.339,25.748,25.259,23.606,23.707,23.826,23.830,24.085,24.022,24.005,23.977
2025-09-02 20:47:21,20.224,24.395,25.471,25.644,24.825,25.489,25.838,25.472,23.846,23.833,24.115,24.017,24.172,24.129,24.177,24.252
2025-09-02 20:47:27,20.368,23.101,25.465,25.652,24.884,25.185,25.733,25.023,23.835,23.907,24.135,24.227,24.260,24.395,24.413,24.459
2025-09-02 20:47:32,20.526,23.592,25.445,25.621,24.982,25.239,25.696,24.871,23.982,24.061,24.273,24.391,24.396,24.391,24.361,24.422
2025-09-02 20:47:37,20.547,23.982,25.288,25.571,24.797,25.123,25.636,24.922,24.133,24.064,24.264,24.238,24.324,24.499,24.451,24.520
2025-09-02 20:47:42,20.640,23.669,25.304,25.536,24.775,25.050,25.622,24.740,23.508,23.526,23.699,24.082,24.240,23.863,23.764,23.831
2025-09-02 20:47:47,20.726,23.960,25.305,25.505,24.668,24.851,25.553,24.551,23.578,23.623,23.731,23.890,23.986,23.728,23.805,23.831
2025-09-02 20:47:52,20.798,23.593,25.256,25.486,24.698,24.994,25.549,24.267,23.184,23.261,23.228,23.793,23.879,23.518,23.478,23.498
2025-09-02 20:47:57,21.008,23.717,25.341,25.566,24.537,25.049,25.592,24.437,23.645,23.715,23.869,24.025,24.127,23.890,23.931,23.964
2025-09-02 20:48:02,21.344,23.357,25.310,25.536,24.368,25.109,25.620,24.375,23.368,23.417,23.394,23.795,23.970,23.513,23.693,23.697
2025-09-02 20:48:07,21.108,23.372,25.308,25.537,24.234,24.931,25.617,24.340,23.104,23.203,23.275,24.067,24.023,23.593,23.598,23.331
2025-09-02 20:48:13,21.294,23.641,25.335,25.537,24.338,25.057,25.642,24.482,23.441,23.562,23.605,24.019,24.103,23.827,23.830,23.804
2025-09-02 20:48:18,21.428,23.477,25.403,25.601,24.467,24.957,25.736,24.719,23.444,23.383,23.423,24.015,24.081,23.684,23.710,23.724
2025-09-02 20:48:23,21.523,23.398,25.433,25.625,24.657,25.281,25.813,25.135,22.913,23.090,23.230,24.029,23.945,23.075,23.095,23.112
2025-09-02 20:48:28,21.470,23.425,25.467,25.653,24.716,25.383,25.839,25.166,23.139,23.255,23.264,23.809,23.931,23.422,23.444,23.473
2025-09-02 20:48:33,21.526,23.583,25.493,25.655,24.831,25.286,25.879,25.180,23.009,23.108,23.249,23.730,23.952,23.230,23.242,23.333
2025-09-02 20:48:38,21.681,24.096,25.483,25.648,25.200,25.425,25.867,25.250,23.220,23.332,23.381,23.833,24.019,23.657,23.637,23.645
2025-09-02 20:48:43,21.644,23.929,25.562,25.714,25.342,25.230,25.894,25.028,23.112,23.214,23.165,23.834,24.021,23.476,23.492,23.486
2025-09-02 20:48:48,21.802,23.610,25.537,25.714,25.196,25.165,25.778,24.785,23.135,23.203,23.288,24.032,24.080,23.304,23.610,23.550
2025-09-02 20:48:54,21.792,23.917,25.480,25.658,24.999,25.258,25.813,25.070,23.291,23.380,23.385,23.825,24.017,23.579,23.593,23.682
2025-09-02 20:48:59,21.849,23.428,25.477,25.664,25.034,25.223,25.835,24.921,23.109,23.272,23.418,24.001,24.007,23.504,23.517,23.554
2025-09-02 20:49:04,21.762,23.361,25.491,25.646,25.040,25.236,25.782,24.965,22.987,23.137,23.264,23.841,24.048,23.360,23.379,23.396
2025-09-02 20:49:09,21.538,23.858,25.458,25.661,25.195,25.401,25.827,25.218,23.050,23.185,23.161,23.681,23.880,23.229,23.247,23.307
2025-09-02 20:49:14,21.556,23.277,25.569,25.732,25.243,25.520,25.925,25.374,22.887,23.045,23.006,23.938,23.919,23.239,23.221,23.195
2025-09-02 20:49:19,22.037,23.640,25.618,25.758,25.379,25.551,25.922,25.438,23.094,23.139,23.321,23.836,23.860,23.388,23.356,23.358
2025-09-02 20:49:24,22.007,23.759,25.654,25.768,25.457,25.542,25.948,25.543,23.093,23.160,23.183,24.004,23.955,23.386,23.393,23.361
2025-09-02 20:49:29,22.432,24.253,25.652,25.762,25.417,25.490,26.004,25.579,23.133,23.247,23.212,23.892,23.918,23.311,23.439,23.408
2025-09-02 20:49:34,22.384,23.787,25.642,25.763,25.362,25.477,25.933,25.549,22.997,23.127,23.181,23.752,23.918,23.362,23.287,23.285
2025-09-02 20:49:40,22.231,23.871,25.648,25.766,25.383,25.563,25.934,25.572,23.053,23.136,23.334,23.867,24.033,23.428,23.423,23.441
2025-09-02 20:49:45,22.385,23.706,25.705,25.830,25.436,25.672,25.995,25.684,23.142,23.358,23.413,24.135,24.049,23.560,23.539,23.597
2025-09-02 20:49:50,22.403,24.220,25.679,25.862,25.371,25.750,26.026,25.777,23.112,23.191,23.292,23.670,24.006,23.539,23.526,23.579
2025-09-02 20:49:55,22.271,23.934,25.693,25.873,25.431,25.653,26.025,25.673,22.927,23.026,23.114,23.491,23.845,23.376,23.305,23.262
2025-09-02 20:50:00,22.274,24.386,25.711,25.868,25.427,25.615,26.037,25.599,22.867,22.994,23.040,23.612,23.909,23.305,23.181,23.082
2025-09-02 20:50:05,22.224,24.620,25.726,25.871,25.420,25.523,25.979,25.464,22.754,22.907,22.891,23.495,23.835,22.966,22.975,22.968
2025-09-02 20:50:10,22.385,24.662,25.733,25.888,25.419,25.583,26.020,25.638,22.799,22.901,22.993,23.477,23.770,23.171,23.152,23.163
2025-09-02 20:50:15,22.659,24.639,25.730,25.859,25.379,25.608,26.005,25.616,22.587,22.704,22.775,23.314,23.790,23.047,22.990,22.941
2025-09-02 20:50:21,22.733,24.652,25.730,25.902,25.405,25.649,26.016,25.658,22.797,22.896,23.026,23.380,23.829,23.190,23.192,23.192
