Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16
2025-09-05 12:24:58,-6.295,-3.745,-5.727,-3.410,-5.990,-3.780,4.438,-7.940,23.204,23.069,23.129,22.751,23.271,25.032,24.886,23.661
2025-09-05 12:24:59,-6.289,-3.759,-5.740,-3.403,-6.034,-3.646,4.502,-7.890,23.143,23.000,23.136,22.832,23.354,25.004,23.407,23.573
2025-09-05 12:25:00,-6.237,-3.747,-5.719,-3.404,-6.011,-3.656,4.440,-7.867,23.229,23.043,23.220,22.911,23.415,25.008,23.547,23.796
2025-09-05 12:25:01,-6.240,-3.752,-5.700,-3.394,-6.009,-3.639,4.466,-7.832,23.115,23.040,23.345,22.882,23.435,25.003,23.388,23.553
2025-09-05 12:25:02,-6.238,-3.745,-5.687,-3.410,-6.013,-3.637,4.389,-7.820,23.113,23.047,23.136,22.915,23.316,25.000,23.307,23.491
2025-09-05 12:25:04,-6.174,-3.750,-5.670,-3.395,-5.998,-3.614,4.432,-7.783,23.189,23.054,23.121,22.862,23.285,25.031,23.444,23.688
2025-09-05 12:25:05,-6.161,-3.754,-5.640,-3.391,-5.963,-3.619,4.402,-7.761,23.187,23.150,23.255,22.903,23.404,25.042,23.473,23.693
2025-09-05 12:25:06,-6.156,-3.764,-5.595,-3.425,-5.965,-3.620,4.480,-7.767,23.257,23.300,23.450,22.947,23.557,25.072,23.624,23.865
2025-09-05 12:25:07,-6.211,-3.818,-5.679,-3.476,-6.014,-3.672,4.441,-7.776,23.210,23.195,23.401,22.801,23.457,24.997,23.424,23.866
2025-09-05 12:25:08,-6.204,-3.826,-5.666,-3.484,-6.002,-3.669,4.397,-7.865,23.101,23.097,23.216,22.669,23.393,24.972,23.622,23.630
2025-09-05 12:25:09,-6.141,-3.826,-5.676,-3.473,-5.985,-3.645,4.422,-7.863,22.852,23.063,23.125,22.751,23.274,24.969,23.265,23.363
2025-09-05 12:25:10,-6.196,-3.817,-5.599,-3.412,-5.913,-3.579,4.543,-7.830,22.944,22.953,23.022,22.690,23.194,25.017,23.341,23.522
2025-09-05 12:25:11,-6.178,-3.821,-5.624,-3.465,-5.966,-3.642,4.512,-7.909,23.000,23.083,23.151,22.578,23.233,24.953,23.469,23.594
2025-09-05 12:25:12,-6.152,-3.830,-5.613,-3.479,-5.965,-3.627,4.527,-7.934,23.080,23.200,23.284,22.625,23.320,24.944,23.596,23.708
2025-09-05 12:25:14,-6.144,-3.826,-5.605,-3.461,-5.939,-3.620,4.498,-7.964,23.204,23.299,23.341,22.716,23.460,24.913,23.659,23.808
2025-09-05 12:25:15,-6.123,-3.829,-5.599,-3.483,-5.938,-3.618,4.491,-8.001,23.170,23.257,23.274,22.770,23.400,24.917,23.704,23.848
2025-09-05 12:25:16,-6.067,-3.763,-5.531,-3.415,-5.859,-3.540,4.555,-8.034,23.105,23.184,23.216,22.859,23.417,24.966,23.444,23.627
2025-09-05 12:25:17,-6.119,-3.850,-5.625,-3.478,-5.910,-3.601,4.480,-8.092,22.933,23.018,23.051,22.778,23.296,24.910,23.483,23.604
2025-09-05 12:25:18,-6.047,-3.843,-5.641,-3.484,-5.917,-3.597,4.498,-8.128,23.116,23.170,23.205,22.837,23.348,24.914,23.381,23.496
2025-09-05 12:25:19,-6.100,-3.839,-5.583,-3.413,-5.848,-3.531,4.504,-8.103,23.094,23.176,23.170,22.900,23.355,25.014,23.511,23.659
2025-09-05 12:25:20,-6.106,-3.846,-5.657,-3.492,-5.896,-3.587,4.492,-8.206,23.218,23.210,23.324,22.864,23.371,24.962,23.546,23.661
2025-09-05 12:25:21,-6.091,-3.847,-5.649,-3.467,-5.900,-3.580,4.490,-8.240,23.220,23.277,23.450,23.028,23.474,24.980,23.613,23.725
2025-09-05 12:25:23,-6.103,-3.859,-5.648,-3.474,-5.879,-3.562,4.481,-8.282,23.259,23.295,23.476,23.029,23.571,24.992,23.661,23.771
2025-09-05 12:25:24,-6.090,-3.841,-5.618,-3.472,-5.863,-3.578,4.483,-8.340,23.227,23.315,23.473,23.100,23.588,24.999,23.668,23.814
2025-09-05 12:25:25,-6.098,-3.856,-5.639,-3.476,-5.859,-3.575,4.508,-8.414,23.292,23.346,23.491,23.118,23.631,24.999,23.688,23.826
2025-09-05 12:25:26,-6.115,-3.855,-5.601,-3.471,-5.851,-3.549,4.523,-8.510,23.279,23.343,23.508,23.104,23.599,25.051,23.628,23.814
2025-09-05 12:25:27,-6.120,-3.851,-5.591,-3.475,-5.858,-3.560,4.487,-8.702,23.368,23.305,23.474,23.114,23.596,25.007,23.789,23.905
2025-09-05 12:25:28,-6.117,-3.844,-5.599,-3.475,-5.849,-3.561,4.501,-8.812,23.419,23.467,23.605,23.161,23.665,25.027,23.861,23.983
2025-09-05 12:25:29,-6.072,-3.793,-5.576,-3.490,-5.840,-3.554,4.456,-8.911,23.482,23.578,23.650,23.251,23.700,25.058,23.893,23.998
2025-09-05 12:25:30,-6.139,-3.876,-5.617,-3.423,-5.768,-3.495,4.438,-8.960,23.496,23.561,23.718,23.372,23.810,25.119,23.983,24.113
2025-09-05 12:25:32,-6.091,-3.804,-5.527,-3.421,-5.846,-3.565,4.442,-9.132,23.563,23.522,23.672,23.444,23.766,25.044,23.874,23.969
2025-09-05 12:25:33,-6.170,-3.883,-5.602,-3.499,-5.835,-3.506,4.344,-9.196,23.444,23.400,23.551,23.321,23.669,25.134,23.829,23.966
2025-09-05 12:25:34,-6.165,-3.887,-5.647,-3.493,-5.833,-3.576,4.356,-9.420,23.463,23.426,23.615,23.312,23.646,25.062,23.785,23.898
2025-09-05 12:25:35,-6.172,-3.883,-5.672,-3.509,-5.836,-3.574,4.337,-9.579,23.423,23.375,23.557,23.340,23.617,25.070,23.798,23.792
2025-09-05 12:25:36,-6.231,-3.869,-5.660,-3.529,-5.850,-3.581,4.268,-9.883,23.509,23.552,23.694,23.324,23.749,25.065,23.885,23.909
2025-09-05 12:25:37,-6.141,-3.804,-5.629,-3.438,-5.779,-3.509,4.393,-9.931,23.599,23.555,23.660,23.396,23.735,25.112,23.798,23.961
2025-09-05 12:25:38,-6.112,-3.817,-5.607,-3.450,-5.774,-3.505,4.385,-10.086,23.604,23.510,23.631,23.407,23.735,25.144,23.874,24.063
2025-09-05 12:25:39,-6.133,-3.818,-5.674,-3.452,-5.773,-3.508,4.461,-10.230,23.574,23.523,23.585,23.481,23.679,25.164,23.774,23.990
2025-09-05 12:25:41,-6.205,-3.890,-5.755,-3.531,-5.771,-3.514,4.470,-10.389,23.570,23.571,23.642,23.356,23.784,25.145,23.932,24.109
2025-09-05 12:25:42,-6.202,-3.891,-5.741,-3.560,-5.837,-3.584,4.388,-10.597,23.657,23.690,23.699,23.351,23.836,25.098,24.018,24.168
2025-09-05 12:25:43,-6.243,-3.894,-5.730,-3.549,-5.842,-3.597,4.375,-10.728,23.553,23.605,23.691,23.400,23.812,25.101,24.007,24.132
2025-09-05 12:25:44,-6.254,-3.902,-5.764,-3.562,-5.849,-3.590,4.344,-10.904,23.564,23.599,23.641,23.370,23.804,25.073,23.964,24.076
2025-09-05 12:25:45,-6.285,-3.831,-5.728,-3.495,-5.789,-3.548,4.477,-10.969,23.653,23.638,23.762,23.513,23.847,25.122,23.921,24.042
2025-09-05 12:25:46,-6.435,-3.902,-5.833,-3.556,-5.874,-3.614,4.425,-11.308,23.455,23.543,23.620,23.496,23.730,25.067,23.898,24.056
2025-09-05 12:25:47,-6.401,-3.845,-5.832,-3.512,-5.813,-3.565,4.436,-11.372,23.612,23.664,23.709,23.534,23.814,25.146,24.033,24.095
2025-09-05 12:25:48,-6.426,-3.864,-5.796,-3.503,-5.820,-3.560,4.372,-11.541,23.686,23.675,23.666,23.585,23.791,25.140,24.026,24.102
2025-09-05 12:25:49,-6.426,-3.869,-5.845,-3.530,-5.822,-3.571,4.388,-11.721,23.679,23.704,23.759,23.577,23.852,25.141,24.073,24.146
2025-09-05 12:25:51,-6.446,-3.847,-5.872,-3.519,-5.843,-3.578,4.321,-11.865,23.667,23.730,23.816,23.596,23.891,25.175,24.063,24.145
2025-09-05 12:25:52,-6.525,-3.878,-5.930,-3.521,-5.861,-3.590,4.308,-12.008,23.688,23.751,23.882,23.616,23.972,25.166,24.134,24.243
