Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16
2025-09-07 20:49:32,0.162,17.333,-0.230,3.995,0.088,4.590,11.370,-8.904,23.045,23.241,23.195,22.842,23.309,24.874,23.521,23.592
2025-09-07 20:49:33,0.222,17.317,-0.178,4.029,0.159,4.575,11.401,-8.872,23.092,23.150,23.253,22.916,23.394,24.877,23.419,23.469
2025-09-07 20:49:34,0.229,17.297,-0.168,3.997,0.158,4.546,11.388,-8.819,23.095,23.308,23.394,22.770,23.433,24.881,23.538,23.644
2025-09-07 20:49:36,0.142,17.232,-0.247,3.926,0.098,4.541,11.315,-8.843,23.131,23.370,23.443,22.666,23.546,24.904,23.679,23.735
2025-09-07 20:49:37,0.217,17.274,-0.162,3.982,0.156,4.447,11.337,-8.727,23.286,23.461,23.571,22.785,23.656,24.889,23.778,23.857
2025-09-07 20:49:38,0.212,17.263,-0.180,3.981,0.143,4.406,11.363,-8.688,23.330,23.472,23.604,22.855,23.658,24.896,23.884,23.930
2025-09-07 20:49:39,0.196,17.244,-0.173,3.962,0.152,4.398,11.349,-8.651,23.393,23.518,23.598,22.858,23.665,24.903,23.800,23.984
2025-09-07 20:49:40,0.212,17.235,-0.172,3.958,0.156,4.401,11.348,-8.571,23.302,23.404,23.476,22.821,23.610,24.909,23.754,23.853
2025-09-07 20:49:41,0.167,17.229,-0.188,3.929,0.149,4.399,11.279,-8.569,23.361,23.448,23.529,22.941,23.631,24.904,23.715,23.809
2025-09-07 20:49:42,0.215,17.210,-0.238,3.860,0.086,4.316,11.353,-8.467,23.378,23.501,23.537,22.944,23.604,24.880,23.828,23.925
2025-09-07 20:49:43,0.208,17.180,-0.192,3.901,0.156,4.358,11.322,-8.417,23.382,23.464,23.551,23.011,23.704,24.908,23.818,23.911
2025-09-07 20:49:44,0.202,17.169,-0.191,3.898,0.156,4.326,11.323,-8.356,23.177,23.404,23.424,22.899,23.690,24.928,23.791,23.840
2025-09-07 20:49:46,0.145,17.097,-0.275,3.804,0.087,4.306,11.248,-8.405,23.161,23.346,23.398,22.832,23.656,24.916,23.673,23.772
2025-09-07 20:49:47,0.220,17.157,-0.202,3.859,0.136,4.260,11.295,-8.281,23.208,23.437,23.537,22.845,23.759,24.912,23.792,23.849
2025-09-07 20:49:48,0.200,17.136,-0.193,3.855,0.151,4.194,11.310,-8.225,23.296,23.479,23.580,22.892,23.780,24.936,23.813,23.866
2025-09-07 20:49:49,0.216,17.122,-0.193,3.827,0.151,4.171,11.287,-8.159,23.291,23.507,23.659,22.979,23.647,24.973,23.715,23.784
2025-09-07 20:49:50,0.166,17.121,-0.198,3.813,0.150,4.157,11.210,-8.172,23.152,23.337,23.346,22.889,23.464,24.960,23.609,23.722
2025-09-07 20:49:51,0.210,17.084,-0.265,3.744,0.079,4.060,11.288,-8.067,23.274,23.407,23.315,22.760,23.460,24.912,23.726,23.792
2025-09-07 20:49:52,0.229,17.065,-0.197,3.797,0.152,4.080,11.295,-8.026,23.298,23.399,23.387,22.817,23.557,24.939,23.750,23.809
2025-09-07 20:49:53,0.211,17.056,-0.226,3.784,0.145,4.050,11.290,-7.981,23.325,23.362,23.472,22.849,23.605,24.941,23.716,23.814
2025-09-07 20:49:55,0.225,17.051,-0.226,3.769,0.153,4.037,11.280,-7.945,23.353,23.441,23.549,22.821,23.639,24.942,23.780,23.892
2025-09-07 20:49:56,0.225,17.037,-0.214,3.762,0.151,3.987,11.258,-7.899,23.364,23.463,23.575,22.810,23.700,24.978,23.829,23.909
