Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16
2025-09-07 15:07:19,4.950,16.275,3.503,8.885,19.614,11.106,14.169,1.102,23.459,23.574,23.705,23.053,23.818,25.061,23.884,23.980
2025-09-07 15:07:20,4.877,16.229,3.508,8.867,19.617,11.131,14.103,-0.256,23.297,23.558,23.733,23.113,23.841,25.105,23.914,23.988
2025-09-07 15:07:21,4.892,16.136,3.453,8.878,19.614,11.003,13.961,-0.376,23.117,23.361,23.550,23.176,23.839,25.047,23.664,23.669
2025-09-07 15:07:22,4.902,16.169,3.520,8.858,19.544,11.041,14.005,-0.377,23.198,23.404,23.628,23.250,23.639,25.096,23.654,23.730
2025-09-07 15:07:23,4.766,16.160,3.512,8.836,19.599,11.070,13.958,-0.455,23.309,23.452,23.663,23.258,23.846,25.095,23.738,23.826
2025-09-07 15:07:25,4.680,16.083,3.447,8.753,19.518,10.884,13.895,-0.582,23.335,23.477,23.730,23.179,23.830,25.056,23.784,23.867
2025-09-07 15:07:26,4.639,16.042,3.427,8.738,19.513,10.771,13.836,-0.656,23.397,23.521,23.772,23.215,23.846,25.059,23.895,23.933
2025-09-07 15:07:27,4.623,16.034,3.468,8.732,19.507,10.684,13.801,-0.800,23.400,23.563,23.810,23.260,23.864,25.075,23.907,23.972
2025-09-07 15:07:28,4.857,16.007,3.475,8.720,19.496,10.636,13.781,-0.886,23.408,23.566,23.822,23.298,23.850,25.085,23.930,23.989
2025-09-07 15:07:29,4.841,16.034,3.494,8.693,19.489,10.737,13.839,-0.891,23.477,23.643,23.847,23.323,23.842,25.179,23.980,24.030
2025-09-07 15:07:30,4.620,16.015,3.556,8.753,19.549,10.736,13.862,-0.974,23.496,23.628,23.904,23.405,23.936,25.186,23.982,24.026
2025-09-07 15:07:31,4.553,16.001,3.563,8.724,19.533,10.705,13.838,-1.049,23.526,23.698,23.969,23.446,23.946,25.185,24.009,24.162
2025-09-07 15:07:32,4.475,15.983,3.580,8.702,19.535,10.656,13.837,-1.124,23.481,23.724,23.951,23.480,24.019,25.209,24.127,24.158
2025-09-07 15:07:33,4.385,15.945,3.583,8.687,19.506,10.571,13.852,-1.182,23.525,23.776,23.924,23.498,23.974,25.215,24.114,24.177
2025-09-07 15:07:35,4.197,15.873,3.508,8.613,19.421,10.418,13.786,-1.298,23.486,23.686,23.890,23.470,23.954,25.211,24.052,24.099
2025-09-07 15:07:36,4.124,15.913,3.586,8.657,19.500,10.373,13.847,-1.348,23.539,23.717,23.860,23.513,24.003,25.229,24.036,24.078
2025-09-07 15:07:37,4.135,15.879,3.595,8.648,19.469,10.424,13.831,-1.811,23.536,23.692,23.864,23.508,24.032,25.245,24.105,24.113
2025-09-07 15:07:38,4.630,15.881,3.598,8.630,19.463,10.477,13.840,-2.070,23.511,23.778,23.977,23.571,24.035,25.253,24.047,24.056
2025-09-07 15:07:39,4.272,15.777,3.593,8.618,19.473,10.386,13.772,-2.374,23.345,23.619,23.919,23.525,23.930,25.179,23.899,23.905
2025-09-07 15:07:40,4.194,15.812,3.611,8.533,19.389,10.338,13.855,-2.558,23.447,23.696,23.865,23.436,23.863,25.230,23.956,23.981
2025-09-07 15:07:41,4.138,15.788,3.621,8.576,19.453,10.220,13.818,-2.790,23.520,23.700,23.862,23.453,23.925,25.243,23.985,23.998
2025-09-07 15:07:42,3.953,15.707,3.551,8.516,19.366,10.168,13.769,-3.069,23.527,23.661,23.864,23.426,23.984,25.168,23.941,24.049
2025-09-07 15:07:44,3.957,15.757,3.628,8.536,19.419,10.236,13.806,-3.224,23.714,23.839,23.952,23.536,24.122,25.203,24.128,24.239
2025-09-07 15:07:45,3.918,15.720,3.631,8.537,19.400,10.266,13.771,-3.413,23.703,23.840,24.000,23.591,24.151,25.208,24.165,24.268
2025-09-07 15:07:46,3.865,15.714,3.611,8.498,19.388,10.231,13.741,-3.791,23.710,23.863,24.138,23.633,24.265,25.252,24.218,24.297
2025-09-07 15:07:47,4.025,15.682,3.614,8.490,19.386,10.183,13.774,-3.975,23.659,23.910,24.204,23.663,24.253,25.246,24.158,24.238
2025-09-07 15:07:48,3.773,15.646,3.643,8.479,19.367,10.113,13.758,-4.145,23.657,23.885,24.106,23.662,24.237,25.239,24.173,24.234
2025-09-07 15:07:49,3.632,15.619,3.633,8.437,19.374,9.976,13.761,-4.318,23.572,23.836,24.131,23.685,24.210,25.233,24.126,24.141
2025-09-07 15:07:50,3.636,15.597,3.620,8.427,19.372,9.897,13.759,-4.466,23.664,23.809,24.056,23.659,24.238,25.276,24.099,24.161
2025-09-07 15:07:51,3.448,15.585,3.618,8.405,19.342,9.832,13.757,-4.633,23.721,23.881,24.129,23.650,24.244,25.225,24.160,24.256
2025-09-07 15:07:52,3.376,15.498,3.564,8.313,19.269,9.755,13.687,-4.851,23.645,23.853,24.036,23.630,24.155,25.193,24.117,24.184
2025-09-07 15:07:54,3.255,15.539,3.610,8.375,19.303,9.538,13.727,-4.937,23.755,23.895,24.148,23.718,24.208,25.299,24.189,24.237
2025-09-07 15:07:55,3.167,15.535,3.628,8.345,19.303,9.447,13.712,-5.003,23.748,23.938,24.185,23.723,24.256,25.281,24.264,24.289
2025-09-07 15:07:56,3.087,15.508,3.601,8.326,19.289,9.473,13.714,-5.240,23.741,23.963,24.213,23.735,24.249,25.307,24.266,24.312
