event_idx,row_idx,t,dT_dt,Tsel
1,8110,2025-09-09 17:38:12,0.042,-0.227
2,11146,2025-09-09 18:35:00,0.0403333333333333,-0.369333333333333
3,11292,2025-09-09 18:37:44,0.0381666666666667,-0.409666666666667
4,11582,2025-09-09 18:43:10,0.0381666666666667,-0.335
5,11789,2025-09-09 18:47:03,0.0378333333333333,-0.342333333333333
6,11955,2025-09-09 18:50:09,0.0405,-0.374333333333333
7,12176,2025-09-09 18:54:18,0.0376666666666667,-0.459333333333333
8,12391,2025-09-09 18:58:20,0.0368333333333334,-0.464
9,12622,2025-09-09 19:02:40,0.0368333333333333,-0.439
10,12679,2025-09-09 19:03:44,0.037,-0.301333333333333
11,12788,2025-09-09 19:05:46,0.0365,-0.497333333333333
12,12881,2025-09-09 19:07:31,0.0341666666666667,-0.355666666666667
13,13116,2025-09-09 19:11:55,0.0388333333333333,-0.336666666666667
14,13532,2025-09-09 19:19:43,0.0366666666666667,-0.290666666666667
15,13608,2025-09-09 19:21:08,0.0353333333333333,-0.434333333333333
16,13667,2025-09-09 19:22:15,0.0348333333333333,-0.567
17,13718,2025-09-09 19:23:12,0.0351666666666667,-0.465333333333333
18,13974,2025-09-09 19:28:00,0.0373333333333333,-0.404
19,14024,2025-09-09 19:28:56,0.0371666666666667,-0.424666666666667
20,14179,2025-09-09 19:31:50,0.0343333333333333,-0.357666666666667
21,14317,2025-09-09 19:34:25,0.034,-0.514666666666667
22,14355,2025-09-09 19:35:08,0.0346666666666667,-0.469333333333333
23,14392,2025-09-09 19:35:49,0.0385,-0.384666666666667
24,14608,2025-09-09 19:39:53,0.0381666666666666,-0.379333333333333
25,14979,2025-09-09 19:46:50,0.0396666666666667,-0.814
26,15021,2025-09-09 19:47:37,0.0356666666666667,-0.828333333333333
27,15062,2025-09-09 19:48:23,0.0368333333333334,-0.796333333333333
28,15127,2025-09-09 19:49:36,0.0328333333333333,-0.977666666666667
29,15216,2025-09-09 19:51:16,0.0373333333333332,-1.201
30,15266,2025-09-09 19:52:12,0.0379999999999999,-1.211
31,15303,2025-09-09 19:52:54,0.0355000000000001,-1.12166666666667
32,15472,2025-09-09 19:56:04,0.0428333333333333,-1.487
33,15735,2025-09-09 20:01:00,0.0411666666666667,-1.65433333333333
34,15768,2025-09-09 20:01:37,0.0363333333333333,-1.69466666666667
35,15846,2025-09-09 20:03:05,0.0353333333333333,-2.01366666666667
36,15888,2025-09-09 20:03:52,0.0356666666666667,-2.03266666666667
37,15924,2025-09-09 20:04:32,0.0388333333333333,-1.93866666666667
38,16040,2025-09-09 20:06:43,0.0361666666666669,-2.201
39,16087,2025-09-09 20:07:36,0.0393333333333332,-2.22233333333333
40,16370,2025-09-09 20:12:54,0.0356666666666665,-2.168
41,16461,2025-09-09 20:14:37,0.0388333333333333,-2.461
42,16961,2025-09-09 20:23:59,0.0383333333333336,-2.68033333333333
43,17186,2025-09-09 20:28:12,0.0445000000000002,-2.66966666666667
44,20012,2025-09-09 21:21:13,0.23,-3.352
45,20580,2025-09-09 21:31:51,0.0434999999999999,-2.71266666666667
46,21037,2025-09-09 21:40:24,0.0421666666666667,-2.63733333333333
47,25242,2025-09-09 23:12:00,0.0436666666666665,-2.70433333333333
48,26702,2025-09-09 23:39:19,0.0489999999999999,-2.60233333333333
49,26825,2025-09-09 23:41:37,0.0384999999999995,-2.77733333333333
50,27175,2025-09-09 23:48:10,0.0396666666666667,-2.77033333333333
51,27316,2025-09-09 23:50:48,0.0396666666666667,-2.69533333333333
52,27430,2025-09-09 23:52:56,0.0379999999999998,-2.82866666666667
53,28071,2025-09-10 00:04:56,0.0408333333333333,-2.75533333333333
54,28114,2025-09-10 00:05:44,0.0423333333333331,-2.70133333333333
55,29335,2025-09-10 00:28:35,0.0376666666666665,-2.73733333333333
56,29728,2025-09-10 00:35:57,0.0371666666666668,-2.71533333333333
57,29952,2025-09-10 00:40:08,0.0393333333333332,-2.66233333333333
58,30435,2025-09-10 00:49:11,0.0406666666666669,-2.83033333333333
59,30799,2025-09-10 00:56:00,0.0451666666666668,-2.80133333333333
60,30952,2025-09-10 00:58:52,0.0426666666666666,-2.78866666666667
61,31068,2025-09-10 01:01:02,0.0433333333333332,-2.932
62,31569,2025-09-10 01:10:25,0.0415000000000001,-2.71666666666667
63,31836,2025-09-10 01:15:25,0.0425000000000002,-2.83266666666667
64,32039,2025-09-10 01:19:13,0.0413333333333337,-2.92333333333333
65,33468,2025-09-10 01:45:59,0.0406666666666666,-2.92866666666667
66,33802,2025-09-10 01:52:14,0.0396666666666667,-2.75433333333333
67,34412,2025-09-10 02:03:40,0.0385,-2.757
68,34606,2025-09-10 02:07:18,0.0425000000000002,-2.78366666666667
69,34822,2025-09-10 02:11:21,0.0393333333333332,-2.79266666666667
70,35322,2025-09-10 02:20:43,0.0456666666666665,-3.01266666666667
71,35817,2025-09-10 02:29:59,0.0418333333333336,-2.822
