freq_col,type,t_abs,t_rel_s,idx
1,mag,2025-09-11 02:52:18.000,24772,4952
1,mag,2025-09-11 02:52:49.000,24803,4958
1,phase,2025-09-11 02:05:30.000,21964,4397
1,phase,2025-09-11 02:52:18.000,24772,4952
2,mag,2025-09-11 02:52:18.000,24772,4952
2,mag,2025-09-11 02:52:49.000,24803,4958
2,phase,2025-09-11 02:05:30.000,21964,4397
2,phase,2025-09-11 02:52:18.000,24772,4952
3,mag,2025-09-11 02:52:18.000,24772,4952
3,mag,2025-09-11 02:52:54.000,24808,4959
3,phase,2025-09-11 02:05:35.000,21969,4398
3,phase,2025-09-11 02:52:18.000,24772,4952
4,mag,2025-09-11 02:52:18.000,24772,4952
4,mag,2025-09-11 02:52:54.000,24808,4959
4,phase,2025-09-10 20:08:05.000,519,105
4,phase,2025-09-11 02:05:30.000,21964,4397
4,phase,2025-09-11 02:52:18.000,24772,4952
5,mag,2025-09-11 02:52:13.000,24767,4951
5,phase,2025-09-11 02:05:30.000,21964,4397
5,phase,2025-09-11 02:52:49.000,24803,4958
6,mag,2025-09-11 02:51:58.000,24752,4948
6,phase,2025-09-10 19:59:31.000,5,2
6,phase,2025-09-10 20:06:05.000,399,81
6,phase,2025-09-11 02:05:25.000,21959,4396
6,phase,2025-09-11 02:52:39.000,24793,4956
