freq_col,type,t_abs,t_rel_s,idx
1,phase,2025-09-11 07:50:01.000,16931,3382
2,phase,2025-09-11 07:49:46.000,16916,3379
2,phase,2025-09-11 07:50:36.000,16966,3389
3,phase,2025-09-11 07:49:41.000,16911,3378
3,phase,2025-09-11 07:50:36.000,16966,3389
4,mag,2025-09-11 07:49:51.000,16921,3380
4,phase,2025-09-11 07:49:41.000,16911,3378
5,mag,2025-09-11 07:49:41.000,16911,3378
5,phase,2025-09-11 07:49:46.000,16916,3379
5,phase,2025-09-11 13:21:07.000,36797,7370
5,phase,2025-09-11 13:28:40.000,37250,7461
5,phase,2025-09-11 13:36:38.000,37728,7557
6,phase,2025-09-11 07:49:36.000,16906,3377
6,phase,2025-09-11 07:50:36.000,16966,3389
