event_idx,row_idx,t,dT_dt,Tsel
1,6846,2025-09-11 00:32:19,0.0432499999999998,-2.21025
2,8116,2025-09-11 00:56:05,0.0385,-2.815
3,9972,2025-09-11 01:30:44,0.039625,-3.523
4,10572,2025-09-11 01:41:56,0.040125,-3.65075
5,10606,2025-09-11 01:42:34,0.040125,-3.6205
6,15119,2025-09-11 03:06:56,0.360625,-3.76025
7,15170,2025-09-11 03:07:54,0.10075,-2.71275
8,20896,2025-09-11 04:54:55,0.0361250000000002,-2.317
9,21179,2025-09-11 05:00:13,0.0373750000000002,-2.33775
10,21371,2025-09-11 05:03:48,0.0357500000000002,-2.35725
11,21743,2025-09-11 05:10:46,0.0369999999999999,-2.37925
12,21858,2025-09-11 05:12:55,0.036,-2.23325
13,21956,2025-09-11 05:14:45,0.0366249999999999,-2.3935
14,22011,2025-09-11 05:15:47,0.0346249999999999,-2.34775
15,22088,2025-09-11 05:17:13,0.034125,-2.30225
16,22120,2025-09-11 05:17:49,0.0386249999999999,-2.31225
17,22632,2025-09-11 05:27:24,0.0366250000000001,-2.3475
18,22733,2025-09-11 05:29:17,0.0366249999999999,-2.4255
19,25981,2025-09-11 06:30:04,0.0395000000000001,-2.45375
20,26425,2025-09-11 06:38:23,0.0378750000000001,-2.49225
21,32760,2025-09-11 08:37:06,0.0369999999999999,-2.70325
22,39188,2025-09-11 10:37:37,0.0374999999999999,-2.7985
23,39446,2025-09-11 10:42:27,0.0353750000000002,-2.681
24,39643,2025-09-11 10:46:09,0.036125,-2.758
25,39769,2025-09-11 10:48:31,0.0346249999999997,-2.8025
26,39860,2025-09-11 10:50:13,0.0376249999999998,-2.75
27,39892,2025-09-11 10:50:49,0.0343749999999998,-2.7695
28,40079,2025-09-11 10:54:20,0.0353750000000002,-2.7255
29,40206,2025-09-11 10:56:43,0.0388749999999998,-2.8165
30,40326,2025-09-11 10:58:58,0.0337499999999999,-2.792
31,40545,2025-09-11 11:03:04,0.0345,-2.8355
32,40646,2025-09-11 11:04:58,0.034375,-2.788
33,41066,2025-09-11 11:12:51,0.0385,-2.7935
34,41132,2025-09-11 11:14:05,0.0367500000000001,-2.831
35,41267,2025-09-11 11:16:37,0.0358749999999999,-2.85525
36,41308,2025-09-11 11:17:23,0.037625,-2.7975
37,41386,2025-09-11 11:18:51,0.0357499999999999,-2.94325
38,41650,2025-09-11 11:23:48,0.0343750000000003,-2.874
39,41869,2025-09-11 11:27:55,0.036375,-2.862
40,41969,2025-09-11 11:29:47,0.0337499999999999,-2.892
41,42085,2025-09-11 11:31:58,0.0378750000000001,-2.85575
42,42190,2025-09-11 11:33:56,0.0335000000000001,-2.90175
43,42246,2025-09-11 11:34:59,0.034375,-2.916
44,42290,2025-09-11 11:35:49,0.0348749999999998,-2.90125
45,42378,2025-09-11 11:37:28,0.0329999999999999,-2.8215
46,42523,2025-09-11 11:40:11,0.0351249999999999,-2.84225
47,42713,2025-09-11 11:43:45,0.04175,-2.80975
48,43265,2025-09-11 11:54:07,0.038375,-2.945
49,44087,2025-09-11 12:09:33,0.0347500000000001,-2.97475
