Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16
2025-09-11 13:33:26,12.087,13.994,5.466,4.218,4.656,9.114,11.423,4.316,11.413,8.942,23.308,-3.080,-1.426,8.015,23.585,22.537
2025-09-11 13:33:27,12.075,14.002,5.369,4.210,4.614,9.077,11.372,4.229,11.407,8.921,23.319,-3.082,-1.454,7.645,23.642,23.141
2025-09-11 13:33:28,12.094,13.994,5.270,4.204,4.549,9.012,11.370,4.222,11.406,8.900,23.348,-3.093,-1.646,7.691,23.698,23.240
2025-09-11 13:33:29,12.078,13.987,5.241,4.169,4.488,9.141,11.349,4.164,11.414,8.910,23.353,-3.094,-1.689,7.874,23.674,23.307
2025-09-11 13:33:30,12.064,13.978,5.133,4.144,4.349,8.980,11.313,4.128,11.413,8.890,23.365,-3.083,-1.779,8.191,23.686,23.386
2025-09-11 13:33:31,12.069,13.985,5.087,4.107,4.294,8.833,11.349,4.125,11.412,8.898,23.384,-3.102,-1.823,8.162,23.695,23.414
2025-09-11 13:33:33,12.059,13.980,4.964,4.036,4.172,8.852,11.208,4.109,11.402,8.889,23.381,-3.166,-2.029,8.246,23.665,23.471
2025-09-11 13:33:34,11.988,13.911,4.882,4.106,4.186,8.899,11.309,4.014,11.347,8.811,23.332,-3.086,-2.003,8.173,23.749,23.434
2025-09-11 13:33:35,12.054,13.984,4.873,4.126,4.131,8.754,11.278,3.901,11.403,8.873,23.401,-3.113,-2.084,8.317,23.806,23.533
2025-09-11 13:33:36,12.046,13.960,4.773,4.088,4.095,8.603,11.261,3.808,11.405,8.874,23.398,-3.120,-2.189,8.401,23.786,23.557
2025-09-11 13:33:37,12.021,13.946,4.715,4.085,4.049,8.535,11.220,3.814,11.408,8.865,23.411,-3.117,-2.391,8.308,23.764,23.564
2025-09-11 13:33:38,12.033,13.950,4.692,4.053,3.977,8.498,11.234,3.830,11.399,8.869,23.410,-3.115,-2.324,8.350,23.825,23.564
2025-09-11 13:33:39,12.020,13.947,4.712,4.026,3.928,8.437,11.215,3.813,11.391,8.853,23.403,-3.101,-2.329,8.502,23.812,23.567
2025-09-11 13:33:40,12.018,13.934,4.634,3.968,3.766,8.497,11.206,3.793,11.386,8.843,23.410,-3.181,-2.543,8.587,23.825,23.576
2025-09-11 13:33:41,11.951,13.869,4.520,4.028,3.788,8.660,11.126,3.683,11.344,8.775,23.334,-3.112,-2.550,8.585,23.751,23.516
2025-09-11 13:33:43,11.995,13.937,4.589,4.089,3.765,8.540,11.179,3.678,11.416,8.835,23.393,-3.110,-2.554,8.514,23.855,23.573
2025-09-11 13:33:44,11.998,13.924,4.611,4.080,3.722,8.480,11.170,3.551,11.415,8.818,23.411,-3.112,-2.533,8.611,23.910,23.568
2025-09-11 13:33:45,11.976,13.926,4.503,4.036,3.698,8.351,11.159,3.535,11.402,8.816,23.405,-3.115,-2.583,8.610,23.902,23.555
2025-09-11 13:33:46,11.972,13.910,4.423,4.022,3.678,8.319,11.160,3.503,11.412,8.795,23.407,-3.125,-2.737,8.786,23.877,23.574
2025-09-11 13:33:47,11.963,13.924,4.335,3.976,3.631,8.261,11.138,3.555,11.419,8.790,23.390,-3.127,-2.740,8.709,23.865,23.556
2025-09-11 13:33:48,11.955,13.921,4.331,3.972,3.604,8.186,11.149,3.570,11.415,8.780,23.400,-3.132,-2.760,8.509,23.979,23.562
2025-09-11 13:33:49,11.955,13.912,4.335,3.986,3.508,8.187,11.147,3.524,11.402,8.784,23.391,-3.130,-2.880,8.615,23.913,23.558
2025-09-11 13:33:50,11.935,13.900,4.304,3.988,3.494,8.168,11.133,3.488,11.390,8.779,23.379,-3.132,-2.879,8.432,23.903,23.556
2025-09-11 13:33:52,11.940,13.899,4.278,3.974,3.456,8.152,11.131,3.425,11.395,8.771,23.386,-3.145,-2.890,8.639,23.918,23.534
2025-09-11 13:33:53,11.938,13.881,4.183,3.943,3.406,8.055,11.117,3.362,11.395,8.767,23.375,-3.145,-2.952,8.648,23.916,23.525
2025-09-11 13:33:54,11.917,13.877,4.172,3.949,3.386,8.163,11.078,3.420,11.383,8.757,23.372,-3.150,-2.999,8.240,23.941,23.523
2025-09-11 13:33:55,11.930,13.871,4.134,3.945,3.353,8.097,11.091,3.359,11.379,8.756,23.374,-3.139,-3.038,8.131,23.936,23.533
2025-09-11 13:33:56,11.919,13.867,3.970,3.932,3.315,7.974,11.081,3.328,11.382,8.749,23.361,-3.150,-3.068,7.961,23.944,23.526
2025-09-11 13:33:57,11.914,13.859,3.932,3.929,3.285,7.939,11.111,3.381,11.387,8.748,23.352,-3.148,-3.044,7.920,23.938,23.506
2025-09-11 13:33:58,11.899,13.854,3.922,3.869,3.229,7.943,11.098,3.463,11.395,8.747,23.342,-3.149,-3.176,7.957,23.920,23.514
2025-09-11 13:33:59,11.895,13.867,3.917,3.884,3.221,7.937,11.092,3.500,11.382,8.720,23.341,-3.146,-3.089,7.933,23.954,23.505
2025-09-11 13:34:01,11.879,13.846,3.939,3.885,3.170,7.882,11.074,3.436,11.387,8.715,23.328,-3.134,-3.126,7.950,23.941,23.504
2025-09-11 13:34:02,11.878,13.862,3.942,3.848,3.156,7.859,11.049,3.341,11.380,8.702,23.338,-3.148,-3.142,8.088,23.941,23.494
2025-09-11 13:34:03,11.866,13.841,3.928,3.843,3.131,7.747,11.043,3.387,11.385,8.706,23.339,-3.144,-3.099,8.257,23.969,23.493
2025-09-11 13:34:04,11.854,13.835,3.866,3.849,3.102,7.756,11.049,3.351,11.383,8.699,23.358,-3.144,-3.078,8.453,23.960,23.513
2025-09-11 13:34:05,11.855,13.832,3.825,3.842,3.098,7.699,11.050,3.311,11.372,8.690,23.394,-3.140,-3.110,8.642,23.973,23.527
2025-09-11 13:34:06,11.851,13.834,3.817,3.849,3.074,7.750,11.065,3.291,11.362,8.681,23.428,-3.161,-3.144,8.806,24.010,23.538
2025-09-11 13:34:07,11.833,13.815,3.801,3.823,3.013,7.671,11.060,3.265,11.362,8.675,23.470,-3.143,-3.228,8.571,24.035,23.587
2025-09-11 13:34:08,11.837,13.825,3.738,3.799,2.978,7.657,11.064,3.238,11.367,8.658,23.488,-3.167,-3.180,8.197,24.109,23.601
2025-09-11 13:34:10,11.822,13.813,3.685,3.806,2.954,7.677,11.059,3.263,11.365,8.654,23.509,-3.152,-3.156,8.140,24.124,23.625
2025-09-11 13:34:11,11.814,13.807,3.665,3.802,2.950,7.743,11.063,3.192,11.378,8.662,23.548,-3.157,-3.181,8.011,24.172,23.662
2025-09-11 13:34:12,11.809,13.805,3.626,3.806,2.921,7.652,11.034,3.248,11.356,8.644,23.596,-3.148,-3.142,8.115,24.216,23.716
2025-09-11 13:34:13,11.801,13.795,3.635,3.794,2.914,7.663,11.045,3.224,11.363,8.636,23.616,-3.159,-3.168,8.144,24.245,23.738
2025-09-11 13:34:14,11.857,13.865,3.716,3.856,2.953,7.773,11.113,3.211,11.424,8.689,23.725,-3.081,-3.112,8.300,24.335,23.819
2025-09-11 13:34:15,11.782,13.795,3.653,3.771,2.880,7.694,11.029,3.125,11.355,8.622,23.682,-3.169,-3.158,7.741,24.319,23.785
2025-09-11 13:34:16,11.778,13.782,3.645,3.794,2.836,7.740,11.014,3.171,11.357,8.615,23.722,-3.153,-3.242,7.462,24.378,23.808
2025-09-11 13:34:17,11.763,13.784,3.644,3.763,2.824,7.667,11.005,3.127,11.338,8.605,23.742,-3.161,-3.289,7.946,24.401,23.833
2025-09-11 13:34:19,11.762,13.777,3.646,3.836,2.876,7.723,11.068,3.115,11.330,8.598,23.771,-3.100,-3.237,8.024,24.526,23.853
2025-09-11 13:34:20,11.834,13.832,3.692,3.783,2.793,7.678,11.013,3.015,11.398,8.665,23.846,-3.173,-3.259,8.102,24.583,23.915
2025-09-11 13:34:21,11.760,13.768,3.626,3.771,2.774,7.771,10.988,3.047,11.340,8.597,23.805,-3.169,-3.315,8.119,24.612,23.940
2025-09-11 13:34:22,11.752,13.765,3.638,3.743,2.755,7.760,10.953,3.079,11.321,8.584,23.823,-3.188,-3.330,8.407,24.562,23.962
2025-09-11 13:34:23,11.744,13.758,3.659,3.734,2.739,7.682,10.945,3.023,11.321,8.600,23.856,-3.173,-3.399,8.150,24.602,23.961
2025-09-11 13:34:24,11.738,13.726,3.633,3.749,2.711,7.620,10.945,3.022,11.303,8.567,23.896,-3.171,-3.391,7.923,24.613,24.007
2025-09-11 13:34:25,11.735,13.731,3.599,3.715,2.706,7.652,10.946,3.004,11.308,8.559,23.895,-3.182,-3.496,7.927,24.659,24.019
2025-09-11 13:34:26,11.751,13.736,3.584,3.723,2.678,7.643,10.935,2.976,11.306,8.569,23.932,-3.196,-3.541,7.791,24.691,24.036
2025-09-11 13:34:28,11.719,13.735,3.612,3.764,2.725,7.633,10.920,2.993,11.304,8.574,23.926,-3.115,-3.421,8.013,24.714,24.042
2025-09-11 13:34:29,11.776,13.789,3.664,3.696,2.638,7.443,10.949,3.036,11.366,8.620,24.009,-3.180,-3.488,8.016,24.806,24.134
2025-09-11 13:34:30,11.724,13.727,3.533,3.738,2.694,7.513,11.019,3.026,11.297,8.556,23.959,-3.123,-3.452,8.156,24.882,24.167
2025-09-11 13:34:31,11.771,13.785,3.520,3.765,2.697,7.555,11.011,2.982,11.359,8.589,24.027,-3.111,-3.371,8.280,24.875,24.147
2025-09-11 13:34:32,11.681,13.718,3.507,3.706,2.617,7.568,10.951,2.865,11.292,8.507,24.048,-3.161,-3.372,8.382,24.832,24.113
2025-09-11 13:34:33,11.681,13.714,3.338,3.683,2.615,7.584,10.935,2.907,11.286,8.525,23.996,-3.169,-3.355,8.420,24.822,24.118
2025-09-11 13:34:34,11.680,13.701,3.335,3.667,2.604,7.733,10.935,2.873,11.288,8.492,24.018,-3.175,-3.367,8.359,24.851,24.128
2025-09-11 13:34:35,11.670,13.707,3.341,3.695,2.568,7.708,10.916,2.832,11.275,8.500,24.023,-3.179,-3.304,8.497,24.872,24.147
2025-09-11 13:34:37,11.656,13.686,3.346,3.653,2.551,7.566,10.914,2.818,11.270,8.497,24.017,-3.178,-3.322,8.653,24.892,24.141
2025-09-11 13:34:38,11.672,13.697,3.348,3.673,2.562,7.510,10.923,2.816,11.255,8.488,24.018,-3.184,-3.325,8.675,24.908,24.158
2025-09-11 13:34:39,11.656,13.673,3.412,3.649,2.539,7.576,10.920,2.765,11.270,8.507,24.027,-3.193,-3.279,8.447,24.923,24.158
2025-09-11 13:34:40,11.655,13.679,3.444,3.639,2.536,7.503,10.939,2.768,11.250,8.481,24.028,-3.193,-3.258,8.311,24.971,24.167
2025-09-11 13:34:41,11.638,13.674,3.416,3.636,2.526,7.566,10.915,2.756,11.263,8.480,24.038,-3.195,-3.292,8.268,24.973,24.182
2025-09-11 13:34:42,11.658,13.675,3.331,3.638,2.519,7.439,10.912,2.792,11.231,8.486,24.039,-3.192,-3.388,8.338,24.975,24.163
2025-09-11 13:34:43,11.622,13.662,3.305,3.661,2.508,7.312,10.933,2.756,11.228,8.470,24.024,-3.178,-3.437,8.295,24.982,24.178
2025-09-11 13:34:44,11.630,13.674,3.271,3.633,2.495,7.333,10.919,2.713,11.225,8.465,24.039,-3.185,-3.371,8.163,25.036,24.173
2025-09-11 13:34:46,11.609,13.652,3.202,3.642,2.476,7.493,10.901,2.683,11.239,8.445,24.035,-3.165,-3.351,8.015,25.080,24.174
2025-09-11 13:34:47,11.604,13.661,3.147,3.629,2.448,7.470,10.915,2.669,11.231,8.448,24.040,-3.186,-3.322,8.051,24.999,24.164
2025-09-11 13:34:48,11.598,13.649,3.104,3.618,2.451,7.482,10.902,2.694,11.223,8.451,24.047,-3.196,-3.297,8.092,25.070,24.167
2025-09-11 13:34:49,11.600,13.639,3.138,3.607,2.435,7.480,10.897,2.689,11.215,8.441,24.038,-3.185,-3.272,8.277,24.998,24.177
2025-09-11 13:34:50,11.578,13.638,3.133,3.602,2.404,7.418,10.889,2.653,11.222,8.431,24.038,-3.203,-3.312,8.296,25.041,24.175
2025-09-11 13:34:51,11.576,13.629,3.080,3.571,2.412,7.388,10.891,2.647,11.211,8.414,24.035,-3.183,-3.271,8.142,25.007,24.168
2025-09-11 13:34:52,11.584,13.623,3.058,3.560,2.382,7.325,10.882,2.649,11.204,8.417,24.028,-3.194,-3.268,8.151,25.064,24.177
2025-09-11 13:34:53,11.579,13.621,3.060,3.617,2.466,7.261,10.879,2.624,11.191,8.410,24.035,-3.147,-3.136,8.300,25.085,24.149
2025-09-11 13:34:55,11.646,13.679,3.116,3.598,2.464,7.565,10.927,2.672,11.242,8.472,24.075,-3.132,-3.175,8.369,25.112,24.230
2025-09-11 13:34:56,11.635,13.678,3.067,3.532,2.391,7.491,10.869,2.673,11.246,8.465,24.081,-3.194,-3.218,8.389,24.980,24.219
2025-09-11 13:34:57,11.558,13.609,2.997,3.539,2.394,7.416,10.854,2.649,11.178,8.408,24.021,-3.216,-3.185,8.539,24.982,24.132
2025-09-11 13:34:58,11.569,13.616,2.989,3.539,2.386,7.544,10.856,2.667,11.161,8.397,23.997,-3.197,-3.167,8.667,24.980,24.138
