freq_col,type,t_abs,t_rel_s,idx
1,mag,2025-09-11 22:19:56.000,8372,1666
1,mag,2025-09-11 22:32:18.000,9114,1813
1,mag,2025-09-11 23:10:59.000,11435,2272
1,mag,2025-09-11 23:11:35.000,11471,2279
1,mag,2025-09-11 23:22:57.000,12153,2414
1,mag,2025-09-11 23:29:57.000,12573,2497
1,mag,2025-09-11 23:33:45.000,12801,2542
1,mag,2025-09-11 23:38:09.000,13065,2594
1,mag,2025-09-11 23:41:19.000,13255,2632
1,mag,2025-09-11 23:42:00.000,13296,2640
1,mag,2025-09-11 23:45:37.000,13513,2683
1,mag,2025-09-11 23:48:50.000,13706,2721
1,mag,2025-09-11 23:49:25.000,13741,2728
1,mag,2025-09-11 23:52:37.000,13933,2766
1,mag,2025-09-11 23:53:18.000,13974,2774
1,mag,2025-09-11 23:56:59.000,14195,2818
1,mag,2025-09-12 00:00:41.000,14417,2862
1,mag,2025-09-12 00:03:53.000,14609,2900
1,mag,2025-09-12 00:04:28.000,14644,2907
1,mag,2025-09-12 00:08:11.000,14867,2951
1,mag,2025-09-12 00:11:23.000,15059,2989
1,mag,2025-09-12 00:12:04.000,15100,2997
1,mag,2025-09-12 00:15:09.000,15285,3034
1,mag,2025-09-12 00:15:45.000,15321,3041
1,mag,2025-09-12 00:18:57.000,15513,3079
1,mag,2025-09-12 00:19:37.000,15553,3087
1,mag,2025-09-12 00:22:45.000,15741,3124
1,mag,2025-09-12 00:23:21.000,15777,3131
1,mag,2025-09-12 00:26:34.000,15970,3169
1,mag,2025-09-12 00:27:09.000,16005,3176
1,mag,2025-09-12 00:30:51.000,16227,3220
1,mag,2025-09-12 00:34:09.000,16425,3259
1,mag,2025-09-12 00:34:45.000,16461,3266
1,mag,2025-09-12 00:38:22.000,16678,3309
1,mag,2025-09-12 00:41:35.000,16871,3347
1,mag,2025-09-12 00:42:10.000,16906,3354
1,mag,2025-09-12 00:45:58.000,17134,3399
1,mag,2025-09-12 00:49:05.000,17321,3436
1,mag,2025-09-12 00:49:40.000,17356,3443
1,mag,2025-09-12 00:52:50.000,17546,3481
1,mag,2025-09-12 00:53:26.000,17582,3488
1,mag,2025-09-12 00:56:38.000,17774,3526
1,mag,2025-09-12 00:57:13.000,17809,3533
1,mag,2025-09-12 01:00:21.000,17997,3570
1,mag,2025-09-12 01:00:56.000,18032,3577
1,mag,2025-09-12 01:04:08.000,18224,3615
1,mag,2025-09-12 01:04:48.000,18264,3623
1,mag,2025-09-12 01:07:54.000,18450,3660
1,mag,2025-09-12 01:08:24.000,18480,3666
1,mag,2025-09-12 01:11:36.000,18672,3704
1,mag,2025-09-12 01:12:17.000,18713,3712
1,mag,2025-09-12 01:15:54.000,18930,3755
1,mag,2025-09-12 01:19:07.000,19123,3793
1,mag,2025-09-12 01:19:37.000,19153,3799
