freq_col,type,t_abs,t_rel_s,idx
1,mag,2025-09-12 02:52:58.000,6635,1302
1,mag,2025-09-12 02:56:49.000,6866,1348
1,mag,2025-09-12 03:04:32.000,7329,1440
1,mag,2025-09-12 03:11:36.000,7753,1524
1,mag,2025-09-12 03:16:03.000,8020,1577
1,mag,2025-09-12 03:23:41.000,8478,1668
1,mag,2025-09-12 03:35:16.000,9173,1806
1,mag,2025-09-12 03:50:22.000,10079,1983
1,mag,2025-09-12 04:12:59.000,11436,2252
1,mag,2025-09-12 04:20:03.000,11860,2336
1,mag,2025-09-12 04:20:34.000,11891,2342
1,mag,2025-09-12 04:24:16.000,12113,2386
1,mag,2025-09-12 04:31:49.000,12566,2476
1,mag,2025-09-12 04:35:30.000,12787,2520
1,mag,2025-09-12 04:39:17.000,13014,2565
1,mag,2025-09-12 04:42:29.000,13206,2603
1,mag,2025-09-12 04:43:04.000,13241,2610
1,mag,2025-09-12 04:46:51.000,13468,2655
1,mag,2025-09-12 04:50:02.000,13659,2693
1,mag,2025-09-12 04:50:43.000,13700,2701
1,mag,2025-09-12 04:54:19.000,13916,2744
1,mag,2025-09-12 04:58:11.000,14148,2790
1,mag,2025-09-12 05:01:53.000,14370,2834
1,mag,2025-09-12 05:09:27.000,14824,2924
1,mag,2025-09-12 05:12:38.000,15015,2962
1,mag,2025-09-12 05:13:13.000,15050,2969
1,mag,2025-09-12 05:16:25.000,15242,3007
1,mag,2025-09-12 05:16:55.000,15272,3013
1,mag,2025-09-12 05:20:42.000,15499,3058
1,mag,2025-09-12 05:24:38.000,15735,3105
1,mag,2025-09-12 05:27:45.000,15922,3142
1,mag,2025-09-12 05:28:20.000,15957,3149
1,mag,2025-09-12 05:31:31.000,16148,3187
1,mag,2025-09-12 05:32:06.000,16183,3194
1,mag,2025-09-12 05:35:18.000,16375,3232
1,mag,2025-09-12 05:35:48.000,16405,3238
1,mag,2025-09-12 05:39:05.000,16602,3277
1,mag,2025-09-12 05:39:40.000,16637,3284
1,mag,2025-09-12 05:43:22.000,16859,3328
1,mag,2025-09-12 05:47:17.000,17094,3374
1,mag,2025-09-12 05:50:27.000,17284,3411
1,mag,2025-09-12 05:51:03.000,17320,3418
1,mag,2025-09-12 05:54:49.000,17546,3462
1,mag,2025-09-12 05:58:09.000,17746,3501
1,mag,2025-09-12 05:58:44.000,17781,3508
1,mag,2025-09-12 06:01:51.000,17968,3545
1,mag,2025-09-12 06:02:32.000,18009,3553
1,mag,2025-09-12 06:05:43.000,18200,3591
1,mag,2025-09-12 06:06:13.000,18230,3597
1,mag,2025-09-12 06:09:29.000,18426,3636
1,mag,2025-09-12 06:10:05.000,18462,3643
1,mag,2025-09-12 06:13:57.000,18694,3689
1,mag,2025-09-12 06:17:03.000,18880,3726
1,mag,2025-09-12 06:17:33.000,18910,3732
1,mag,2025-09-12 06:20:49.000,19106,3771
