Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16
2025-08-22 21:51:25,25.809,0.482,24.735,-0.040,0.637,-2.945,-4.293,-1.409,3.295,1.941,0.861,2.070,3.821,1.684,0.159,1.903
2025-08-22 21:51:36,25.816,0.587,25.421,-0.035,0.778,-2.835,-4.153,-1.335,3.340,1.953,0.856,2.076,3.832,1.678,0.158,1.919
2025-08-22 21:51:46,25.870,0.730,28.877,0.032,0.903,-2.735,-4.594,-1.216,3.450,2.015,0.928,2.166,3.908,1.782,0.223,1.991
2025-08-22 21:51:56,25.830,0.712,30.737,-0.029,0.819,-2.989,-5.732,-1.250,3.466,1.981,0.875,2.103,3.882,1.733,0.168,1.933
2025-08-22 21:52:06,25.819,0.629,31.304,-0.018,0.736,-3.721,-8.858,-1.298,3.579,1.983,0.876,2.120,3.893,1.727,0.161,1.961
2025-08-22 21:52:16,25.822,0.549,31.605,0.000,0.711,-4.725,-12.046,-1.384,3.743,1.990,0.889,2.137,3.910,1.760,0.166,1.973
2025-08-22 21:52:26,25.816,0.381,28.205,-0.001,0.690,-5.652,-13.105,-1.537,3.822,2.006,0.880,2.132,3.926,1.788,0.178,1.995
2025-08-22 21:52:36,25.887,0.163,27.486,0.081,0.507,-6.058,-12.485,-1.616,3.920,2.084,0.970,2.232,4.009,1.855,0.252,2.049
2025-08-22 21:52:46,25.817,0.147,25.005,0.040,0.346,-6.283,-11.657,-1.803,3.954,2.103,0.906,2.171,3.968,1.807,0.179,2.031
2025-08-22 21:52:57,25.810,0.015,24.535,0.050,0.197,-6.275,-10.776,-1.930,3.974,2.051,0.913,2.186,3.984,1.832,0.189,2.049
2025-08-22 21:53:07,25.806,-0.143,24.711,0.056,0.206,-6.150,-9.992,-1.979,3.792,2.058,0.927,2.204,4.011,1.849,0.213,2.060
2025-08-22 21:53:17,25.789,-0.183,24.907,0.052,0.149,-5.974,-9.369,-2.054,3.902,2.074,0.908,2.203,4.004,1.869,0.212,2.060
2025-08-22 21:53:27,25.792,-0.278,24.702,0.067,0.039,-5.769,-8.810,-2.062,3.892,2.076,0.930,2.221,4.028,1.861,0.206,2.082
2025-08-22 21:53:37,25.792,-0.155,24.783,0.124,0.086,-5.474,-8.001,-2.059,3.752,2.135,0.994,2.290,4.101,1.939,0.207,2.108
2025-08-22 21:53:47,25.803,-0.289,24.661,0.047,0.060,-5.326,-7.365,-2.062,3.875,2.089,0.926,2.239,4.054,1.887,0.198,2.104
2025-08-22 21:53:57,25.810,-0.180,25.032,0.049,0.048,-5.049,-6.842,-2.036,3.906,2.085,0.946,2.242,4.056,1.909,0.202,2.103
2025-08-22 21:54:07,25.811,-0.162,24.825,0.042,0.115,-4.760,-6.470,-2.010,4.009,2.117,0.928,2.256,4.073,1.911,0.218,2.120
2025-08-22 21:54:18,25.804,-0.029,24.640,0.030,0.082,-4.520,-6.126,-1.931,3.934,2.118,0.946,2.273,4.073,1.919,0.195,2.139
2025-08-22 21:54:28,25.799,-0.038,24.666,0.022,0.145,-4.300,-5.820,-1.898,3.954,2.127,0.946,2.289,4.106,1.940,0.209,2.127
2025-08-22 21:54:38,25.820,0.033,24.731,0.005,0.220,-4.081,-5.591,-1.849,4.136,2.155,0.967,2.305,4.109,1.950,0.214,2.140
2025-08-22 21:54:48,25.819,0.131,24.950,0.013,0.244,-3.915,-5.370,-1.806,4.162,2.155,0.957,2.305,4.126,1.967,0.199,2.139
2025-08-22 21:54:58,25.811,0.211,24.811,0.000,0.375,-3.719,-5.155,-1.739,3.956,2.163,0.955,2.316,4.133,1.983,0.211,2.173
2025-08-22 21:55:08,25.801,0.270,24.527,-0.007,0.429,-3.557,-4.939,-1.672,3.818,2.181,0.980,2.327,4.156,1.971,0.224,2.198
2025-08-22 21:55:18,25.821,0.351,24.521,-0.008,0.436,-3.382,-4.739,-1.590,4.094,2.191,0.976,2.336,4.182,1.991,0.223,2.198
2025-08-22 21:55:28,25.804,0.380,24.521,-0.012,0.480,-3.224,-4.554,-1.522,3.906,2.200,0.987,2.358,4.193,1.998,0.223,2.226
2025-08-22 21:55:38,25.818,0.459,24.661,-0.017,0.577,-3.071,-4.387,-1.457,3.781,2.215,0.979,2.375,4.203,2.024,0.224,2.242
2025-08-22 21:55:49,25.818,0.565,24.915,-0.023,0.699,-2.920,-4.251,-1.394,3.800,2.216,0.984,2.389,4.206,2.047,0.227,2.276
2025-08-22 21:55:59,25.814,0.624,26.412,-0.003,0.695,-2.784,-4.135,-1.309,3.785,2.226,0.988,2.400,4.224,2.049,0.236,2.260
2025-08-22 21:56:09,25.818,0.707,29.232,0.005,0.756,-2.765,-4.641,-1.254,4.026,2.241,0.997,2.402,4.242,2.069,0.240,2.272
2025-08-22 21:56:19,25.810,0.722,30.678,0.005,0.804,-2.965,-5.707,-1.244,4.057,2.254,1.014,2.427,4.267,2.075,0.252,2.317
2025-08-22 21:56:29,25.818,0.659,31.857,0.020,0.893,-3.571,-8.794,-1.232,3.967,2.259,1.001,2.435,4.266,2.117,0.252,2.319
2025-08-22 21:56:39,25.798,0.520,31.373,0.031,0.692,-4.742,-11.722,-1.324,3.887,2.276,1.022,2.450,4.293,2.105,0.245,2.336
2025-08-22 21:56:49,25.817,0.343,26.510,0.040,0.657,-5.677,-13.141,-1.497,4.001,2.290,1.014,2.449,4.302,2.126,0.254,2.337
2025-08-22 21:56:59,25.810,0.172,25.184,0.051,0.456,-6.158,-12.606,-1.707,3.985,2.305,1.034,2.459,4.310,2.141,0.249,2.371
2025-08-22 21:57:10,25.870,0.010,24.891,0.119,0.478,-6.221,-11.651,-1.745,4.088,2.376,1.098,2.534,4.384,2.209,0.316,2.474
2025-08-22 21:57:20,25.798,-0.123,24.494,0.061,0.201,-6.304,-10.841,-1.948,3.976,2.312,1.028,2.485,4.355,2.159,0.262,2.374
2025-08-22 21:57:30,25.788,-0.218,24.298,0.065,0.102,-6.188,-10.071,-2.008,4.029,2.316,1.035,2.494,4.356,2.156,0.259,2.390
2025-08-22 21:57:40,25.806,-0.257,24.492,0.069,-0.003,-6.015,-9.433,-2.068,3.940,2.344,1.036,2.509,4.344,2.189,0.276,2.403
2025-08-22 21:57:50,25.791,-0.105,24.242,0.077,0.073,-5.830,-8.848,-2.053,3.977,2.352,1.031,2.508,4.377,2.193,0.264,2.383
2025-08-22 21:58:00,25.785,-0.157,24.387,0.068,0.090,-5.621,-8.049,-2.070,4.008,2.353,1.056,2.544,4.396,2.197,0.266,2.424
2025-08-22 21:58:10,25.790,-0.196,24.062,0.073,0.012,-5.367,-7.464,-2.054,4.090,2.351,1.059,2.549,4.407,2.232,0.266,2.423
2025-08-22 21:58:20,25.792,-0.253,23.933,0.057,0.081,-5.102,-6.888,-2.026,4.126,2.360,1.071,2.555,4.422,2.227,0.264,2.440
2025-08-22 21:58:31,25.800,-0.209,24.430,0.069,0.096,-4.813,-6.502,-2.007,4.154,2.373,1.072,2.559,4.426,2.243,0.267,2.447
2025-08-22 21:58:41,25.807,-0.155,24.537,0.048,0.182,-4.567,-6.151,-1.976,4.218,2.383,1.062,2.567,4.436,2.250,0.277,2.467
2025-08-22 21:58:51,25.801,-0.019,24.794,0.039,0.212,-4.353,-5.863,-1.916,4.351,2.386,1.071,2.602,4.458,2.277,0.292,2.497
2025-08-22 21:59:01,25.798,0.068,24.810,0.028,0.298,-4.161,-5.634,-1.845,4.489,2.413,1.080,2.592,4.459,2.290,0.278,2.503
2025-08-22 21:59:11,25.809,0.083,24.841,0.011,0.329,-3.946,-5.414,-1.814,4.410,2.414,1.070,2.594,4.474,2.283,0.284,2.530
2025-08-22 21:59:21,25.809,0.080,24.503,0.015,0.303,-3.776,-5.215,-1.728,4.486,2.427,1.076,2.625,4.478,2.304,0.284,2.521
2025-08-22 21:59:31,25.804,0.195,24.033,0.005,0.343,-3.588,-4.995,-1.663,4.552,2.438,1.103,2.626,4.499,2.305,0.299,2.556
2025-08-22 21:59:41,25.809,0.281,24.509,0.011,0.395,-3.403,-4.793,-1.628,4.520,2.444,1.079,2.630,4.516,2.345,0.285,2.603
2025-08-22 21:59:51,25.800,0.317,24.499,-0.063,0.412,-3.304,-4.651,-1.566,4.572,2.412,1.024,2.588,4.460,2.294,0.234,2.569
2025-08-22 22:00:02,25.799,0.445,24.625,-0.004,0.597,-3.078,-4.431,-1.482,4.634,2.468,1.095,2.659,4.548,2.379,0.293,2.577
2025-08-22 22:00:12,25.805,0.531,24.541,0.010,0.649,-2.951,-4.286,-1.411,4.680,2.488,1.113,2.657,4.544,2.371,0.299,2.629
2025-08-22 22:00:22,25.809,0.623,24.783,-0.003,0.742,-2.794,-4.149,-1.330,4.728,2.499,1.109,2.685,4.571,2.406,0.316,2.606
2025-08-22 22:00:32,25.807,0.637,28.275,-0.002,0.822,-2.735,-4.481,-1.293,4.746,2.446,1.045,2.696,4.563,2.414,0.309,2.643
2025-08-22 22:00:42,25.824,0.817,30.157,0.003,0.867,-2.897,-5.253,-1.244,4.783,2.514,1.127,2.705,4.588,2.451,0.326,2.653
2025-08-22 22:00:52,25.819,0.707,31.710,-0.031,0.919,-3.398,-8.045,-1.248,4.808,2.465,1.059,2.654,4.615,2.435,0.326,2.683
2025-08-22 22:01:02,25.824,0.577,31.970,0.041,0.751,-4.360,-11.175,-1.279,4.798,2.531,1.133,2.721,4.632,2.446,0.333,2.690
2025-08-22 22:01:12,25.819,0.423,28.227,0.051,0.741,-5.515,-13.041,-1.459,4.821,2.560,1.128,2.754,4.632,2.474,0.349,2.693
2025-08-22 22:01:23,25.813,0.277,28.069,0.049,0.614,-6.086,-12.724,-1.628,4.855,2.549,1.152,2.766,4.646,2.476,0.343,2.713
2025-08-22 22:01:33,25.748,0.112,25.864,0.069,0.472,-6.282,-11.818,-1.770,4.823,2.584,1.169,2.771,4.682,2.507,0.347,2.747
2025-08-22 22:01:43,25.812,0.002,25.257,0.072,0.270,-6.271,-10.922,-1.856,4.894,2.589,1.166,2.785,4.683,2.515,0.354,2.761
2025-08-22 22:01:53,25.822,-0.039,25.600,0.106,0.158,-6.150,-10.129,-1.920,4.922,2.530,1.175,2.787,4.699,2.519,0.363,2.769
2025-08-22 22:02:03,25.828,-0.181,24.898,0.090,0.031,-5.984,-9.474,-1.960,4.966,2.610,1.191,2.810,4.710,2.519,0.382,2.781
2025-08-22 22:02:13,25.749,-0.263,24.778,0.025,0.001,-5.863,-8.969,-2.054,4.871,2.554,1.124,2.744,4.671,2.461,0.301,2.741
2025-08-22 22:02:23,25.815,-0.265,24.985,0.090,0.075,-5.607,-8.131,-2.012,4.985,2.621,1.191,2.847,4.732,2.555,0.387,2.824
2025-08-22 22:02:33,25.826,-0.193,25.451,0.089,0.036,-5.367,-7.493,-2.006,4.929,2.640,1.208,2.843,4.753,2.580,0.403,2.832
2025-08-22 22:02:44,25.764,-0.148,25.243,0.085,0.031,-5.090,-7.030,-2.055,4.964,2.664,1.208,2.867,4.776,2.584,0.333,2.774
2025-08-22 22:02:54,25.838,-0.046,24.928,0.076,0.135,-4.795,-6.483,-1.979,4.918,2.656,1.208,2.874,4.798,2.582,0.403,2.849
2025-08-22 22:03:04,25.821,-0.079,24.498,0.068,0.094,-4.547,-6.155,-1.936,4.910,2.676,1.216,2.885,4.790,2.628,0.399,2.862
2025-08-22 22:03:14,25.751,-0.119,24.184,0.002,0.086,-4.398,-5.902,-1.949,4.926,2.621,1.153,2.821,4.749,2.565,0.351,2.798
2025-08-22 22:03:24,25.806,-0.021,24.628,0.041,0.260,-4.109,-5.614,-1.826,5.074,2.693,1.225,2.895,4.816,2.624,0.409,2.879
2025-08-22 22:03:34,25.828,-0.044,24.355,0.029,0.308,-3.922,-5.374,-1.772,5.120,2.630,1.154,2.891,4.838,2.660,0.412,2.910
2025-08-22 22:03:44,25.820,0.133,24.553,0.041,0.365,-3.735,-5.169,-1.712,5.150,2.717,1.243,2.925,4.844,2.634,0.418,2.897
2025-08-22 22:03:54,25.755,0.159,24.549,-0.035,0.334,-3.623,-5.032,-1.692,5.112,2.660,1.162,2.856,4.788,2.593,0.338,2.850
2025-08-22 22:04:05,25.762,0.289,24.239,0.025,0.532,-3.363,-4.835,-1.653,5.053,2.731,1.240,2.958,4.861,2.668,0.343,2.878
2025-08-22 22:04:15,25.818,0.281,24.250,-0.050,0.524,-3.283,-4.624,-1.520,4.983,2.693,1.180,2.897,4.813,2.622,0.372,2.942
2025-08-22 22:04:25,25.767,0.383,23.926,-0.044,0.542,-3.108,-4.477,-1.503,4.967,2.693,1.190,2.907,4.825,2.622,0.357,2.855
2025-08-22 22:04:35,25.756,0.423,24.232,-0.036,0.639,-2.972,-4.308,-1.441,5.032,2.703,1.203,2.924,4.841,2.626,0.357,2.900
2025-08-22 22:04:45,25.743,0.536,24.174,-0.042,0.701,-2.811,-4.164,-1.371,4.919,2.715,1.191,2.920,4.852,2.652,0.356,2.877
2025-08-22 22:04:55,25.807,0.629,28.313,0.035,0.834,-2.711,-4.488,-1.250,4.961,2.716,1.264,2.994,4.916,2.723,0.430,2.959
2025-08-22 22:05:05,25.763,0.771,30.514,-0.021,0.793,-2.962,-5.330,-1.270,4.917,2.804,1.279,2.945,4.864,2.673,0.379,2.905
2025-08-22 22:05:15,25.751,0.800,31.698,0.059,0.831,-3.478,-8.244,-1.271,4.777,2.819,1.292,3.018,4.883,2.697,0.370,2.924
2025-08-22 22:05:25,25.763,0.611,31.544,-0.008,0.698,-4.422,-11.294,-1.337,4.864,2.754,1.219,2.966,4.902,2.711,0.373,2.930
2025-08-22 22:05:36,25.769,0.439,28.905,0.014,0.629,-5.499,-13.196,-1.488,4.834,2.770,1.221,2.977,4.905,2.698,0.381,2.960
