Param,FilterType,CutoffHz,BandstopHz,FilterOrder,FilterDesign,FilterMode,EventK,success_rate,success_rate_detailed,mean_delta_mag_s,mean_delta_phase_s,fp_mag_count,fp_phase_count,score
S11,lowpass,0.002,NaN,2,bessel,causal,20,0.472222222222222,0.472222222222222,13,13.1176470588235,18,35,-0.0577777777777778
S11,lowpass,0.002,NaN,2,bessel,causal,24,0.472222222222222,0.472222222222222,NaN,13.1176470588235,12,30,0.0522222222222222
S11,lowpass,0.002,NaN,2,bessel,causal,28,0.472222222222222,0.472222222222222,NaN,13.1176470588235,11,29,0.0722222222222222
S11,lowpass,0.002,NaN,2,bessel,causal,32,0.388888888888889,0.388888888888889,NaN,12.9285714285714,10,24,0.0488888888888889
S11,lowpass,0.002,NaN,2,bessel,causal,36,0.333333333333333,0.333333333333333,NaN,12.5833333333333,10,22,0.0133333333333333
S11,lowpass,0.002,NaN,2,bessel,causal,40,0.222222222222222,0.222222222222222,NaN,14.25,10,18,-0.0577777777777778
S11,lowpass,0.004,NaN,2,bessel,causal,20,0.111111111111111,0.111111111111111,NaN,14.25,25,36,-0.498888888888889
S11,lowpass,0.004,NaN,2,bessel,causal,24,0.0277777777777778,0.0277777777777778,NaN,18,16,29,-0.422222222222222
S11,lowpass,0.004,NaN,2,bessel,causal,28,0.0277777777777778,0.0277777777777778,NaN,18,12,25,-0.342222222222222
S11,lowpass,0.004,NaN,2,bessel,causal,32,0.0277777777777778,0.0277777777777778,NaN,18,12,23,-0.322222222222222
S11,lowpass,0.004,NaN,2,bessel,causal,36,0.0277777777777778,0.0277777777777778,NaN,18,11,19,-0.272222222222222
S11,lowpass,0.004,NaN,2,bessel,causal,40,0.0277777777777778,0.0277777777777778,NaN,18,11,13,-0.212222222222222
S11,lowpass,0.006,NaN,2,bessel,causal,20,0.166666666666667,0.166666666666667,29,11.75,122,41,-1.46333333333333
S11,lowpass,0.006,NaN,2,bessel,causal,24,0.0833333333333333,0.0833333333333333,29,18,35,30,-0.566666666666667
S11,lowpass,0.006,NaN,2,bessel,causal,28,0.0555555555555556,0.0555555555555556,29,18,12,23,-0.294444444444445
S11,lowpass,0.006,NaN,2,bessel,causal,32,0.0277777777777778,0.0277777777777778,NaN,18,10,19,-0.262222222222222
S11,lowpass,0.006,NaN,2,bessel,causal,36,0.0277777777777778,0.0277777777777778,NaN,18,10,16,-0.232222222222222
S11,lowpass,0.006,NaN,2,bessel,causal,40,0.0277777777777778,0.0277777777777778,NaN,18,10,11,-0.182222222222222
S11,lowpass,0.008,NaN,2,bessel,causal,20,0.138888888888889,0.138888888888889,23.6666666666667,15.5,378,48,-4.12111111111111
S11,lowpass,0.008,NaN,2,bessel,causal,24,0.0833333333333333,0.0833333333333333,29,15.5,156,32,-1.79666666666667
S11,lowpass,0.008,NaN,2,bessel,causal,28,0.0555555555555556,0.0555555555555556,29,13,45,20,-0.594444444444444
S11,lowpass,0.008,NaN,2,bessel,causal,32,0.0277777777777778,0.0277777777777778,NaN,13,21,17,-0.352222222222222
S11,lowpass,0.008,NaN,2,bessel,causal,36,0.0277777777777778,0.0277777777777778,NaN,13,15,15,-0.272222222222222
S11,lowpass,0.008,NaN,2,bessel,causal,40,0.0277777777777778,0.0277777777777778,NaN,13,14,13,-0.242222222222222
S22,lowpass,0.002,NaN,2,bessel,causal,20,0.138888888888889,0.138888888888889,NaN,19,10,91,-0.871111111111111
S22,lowpass,0.002,NaN,2,bessel,causal,24,0.138888888888889,0.138888888888889,NaN,19,4,61,-0.511111111111111
S22,lowpass,0.002,NaN,2,bessel,causal,28,0.111111111111111,0.111111111111111,NaN,18,3,49,-0.408888888888889
S22,lowpass,0.002,NaN,2,bessel,causal,32,0.111111111111111,0.111111111111111,NaN,18,2,42,-0.328888888888889
S22,lowpass,0.002,NaN,2,bessel,causal,36,0.0833333333333333,0.0833333333333333,NaN,16.3333333333333,0,27,-0.186666666666667
S22,lowpass,0.002,NaN,2,bessel,causal,40,0.0833333333333333,0.0833333333333333,NaN,16.3333333333333,0,23,-0.146666666666667
S22,lowpass,0.004,NaN,2,bessel,causal,20,0.111111111111111,0.111111111111111,28,19,315,327,-6.30888888888889
S22,lowpass,0.004,NaN,2,bessel,causal,24,0.0833333333333333,0.0833333333333333,NaN,19.3333333333333,48,159,-1.98666666666667
S22,lowpass,0.004,NaN,2,bessel,causal,28,0.0555555555555556,0.0555555555555556,NaN,20,12,92,-0.984444444444444
S22,lowpass,0.004,NaN,2,bessel,causal,32,0.0555555555555556,0.0555555555555556,NaN,20,6,71,-0.714444444444444
S22,lowpass,0.004,NaN,2,bessel,causal,36,0.0277777777777778,0.0277777777777778,NaN,27,4,55,-0.562222222222222
S22,lowpass,0.004,NaN,2,bessel,causal,40,0.0277777777777778,0.0277777777777778,NaN,27,3,47,-0.472222222222222
S22,lowpass,0.006,NaN,2,bessel,causal,20,0.25,0.25,18,22.25,5316,946,-62.37
S22,lowpass,0.006,NaN,2,bessel,causal,24,0.194444444444444,0.194444444444444,NaN,22.8571428571429,3627,461,-40.6855555555556
S22,lowpass,0.006,NaN,2,bessel,causal,28,0.166666666666667,0.166666666666667,NaN,24.5,2299,257,-25.3933333333333
S22,lowpass,0.006,NaN,2,bessel,causal,32,0.166666666666667,0.166666666666667,NaN,24.5,1299,154,-14.3633333333333
S22,lowpass,0.006,NaN,2,bessel,causal,36,0.166666666666667,0.166666666666667,NaN,24.5,699,110,-7.92333333333333
S22,lowpass,0.006,NaN,2,bessel,causal,40,0.138888888888889,0.138888888888889,NaN,24,349,76,-4.11111111111111
S22,lowpass,0.008,NaN,2,bessel,causal,20,0.277777777777778,0.277777777777778,11.1666666666667,17.875,7442,1813,-92.2722222222222
S22,lowpass,0.008,NaN,2,bessel,causal,24,0.194444444444444,0.194444444444444,NaN,18.5714285714286,6125,1015,-71.2055555555556
S22,lowpass,0.008,NaN,2,bessel,causal,28,0.166666666666667,0.166666666666667,NaN,19.5,4787,578,-53.4833333333333
S22,lowpass,0.008,NaN,2,bessel,causal,32,0.166666666666667,0.166666666666667,NaN,19.5,3644,342,-39.6933333333333
S22,lowpass,0.008,NaN,2,bessel,causal,36,0.166666666666667,0.166666666666667,NaN,19.5,2683,216,-28.8233333333333
S22,lowpass,0.008,NaN,2,bessel,causal,40,0.166666666666667,0.166666666666667,NaN,19.5,1882,145,-20.1033333333333
