f,T,ε',ε''
5,-4,63.81,-38.38
10,-4,36.13,-40.07
10,0,42.-51,-40.89
10,10,53.40,-38.22
10,20,61.04,-32.59
10,30,64.18,-27.12
20,0,19.55,-30.79
20,10,27.61,-35.25
20,20,36.91,-36.81
20,30,43.92,-35.70
30,0,12.48,-22.65
30,10,17.17,-27.86
30,20,23.76,-32.00
30,30,29.76,-34.12
40,0,9.65,-17.62
40,10,12.54,-22.35
40,20,17.04,-26.85
40,30,21.38,-30.17
50,10,10.17,-18.47
50,20,13.35,-22.74
50,30,16.40,-26.31
60,10,8.81,-15.68
60,20,11.17,-19.57
60,30,13.29,-23.06
70,10,7.97,-13.59
70,20,9.78,-17.11
70,30,11.26,-20.40
80,20,8.84,-15.17
80,30,9.87,-18.23
90,20,8.19,-13.61
90,30,8.88,-16.44
100,20,7.72,-12.33
100,30,8.16,-14.96
